AtomicNumber_composition_average,AtomicRadii_composition_average,AtomicVolume_composition_average,AtomicWeight_composition_average,BCCefflatcnt_composition_average,BCCenergy_pa_composition_average,BCCfermi_composition_average,BCCmagmom_composition_average,BCCvolume_pa_composition_average,BCCvolume_padiff_composition_average,BoilingT_composition_average,BulkModulus_composition_average,Column_composition_average,CovalentRadii_composition_average,CovalentRadius_composition_average,Density_composition_average,ElasticModulus_composition_average,ElectricalConductivity_composition_average,ElectronAffinity_composition_average,Electronegativity_composition_average,FirstIonizationEnergy_composition_average,GSbandgap_composition_average,GSenergy_pa_composition_average,GSestBCClatcnt_composition_average,GSestFCClatcnt_composition_average,GSmagmom_composition_average,GSvolume_pa_composition_average,Group_composition_average,HHIp_composition_average,HHIr_composition_average,HeatCapacityMass_composition_average,HeatCapacityMolar_composition_average,HeatFusion_composition_average,HeatVaporization_composition_average,ICSDVolume_composition_average,IonicRadii_composition_average,IonizationEnergy_composition_average,IsAlkali_composition_average,IsAlkalineEarth_composition_average,IsBCC_composition_average,IsBoron_composition_average,IsCarbon_composition_average,IsChalcogen_composition_average,IsDBlock_composition_average,IsFBlock_composition_average,IsFCC_composition_average,IsHalogen_composition_average,IsHexagonal_composition_average,IsMetal_composition_average,IsMetalloid_composition_average,IsMonoclinic_composition_average,IsNobleGas_composition_average,IsNonmetal_composition_average,IsOrthorhombic_composition_average,IsPnictide_composition_average,IsRareEarth_composition_average,IsRhombohedral_composition_average,IsSimpleCubic_composition_average,IsTetragonal_composition_average,IsTransitionMetal_composition_average,MeltingT_composition_average,MendeleevNumber_composition_average,MiracleRadius_composition_average,NUnfilled_composition_average,NValance_composition_average,NdUnfilled_composition_average,NdValence_composition_average,NfUnfilled_composition_average,NfValence_composition_average,NpUnfilled_composition_average,NpValence_composition_average,NsUnfilled_composition_average,NsValence_composition_average,Number_composition_average,Period_composition_average,Polarizability_composition_average,Row_composition_average,SecondIonizationEnergy_composition_average,ShearModulus_composition_average,SpaceGroupNumber_composition_average,SpecificHeatCapacity_composition_average,ThermalConductivity_composition_average,ThermalExpansionCoefficient_composition_average,ThirdIonizationEnergy_composition_average,n_ws^third_composition_average,phi_composition_average,valence_composition_average,index,Reliability,Band gap units,chemicalFormula Clean,Band gap values Clean
28.0,1.36,21.027432588998494,68.306091,6.338143604,-3.244695165,8.027011625,0.0,18.05,-3.2766666664999997,2002.0,97.5,9.0,1.1300000000000001,117.0,4044.0,170.5,12.5001,-24.924999999999997,1.835,9.16615,0.232,-3.448170600835,3.3101072589999996,4.1704738135,0.0,21.32666666665,9.0,5450.0,4450.0,1.0135,21.0865,12.6375,173.815,21.0,0.71,884.3,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1141.33,78.5,126.0,1.0,9.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,2.0,28.0,3.5,5.55,3.5,18.4055,74.0,173.0,1.0135,101.175,15.05,90.9265,0.835,2.525,4.0,25,1,eV,Be1Te1,2.89
5.0,0.98,7.29776726528474,10.811,4.606669594,-4.96643126,10.25960696,0.0,6.11,-1.0625,4273.0,320.0,13.0,0.82,84.0,2460.0,441.0,5e-12,27.0,2.04,8.29802,1.524,-6.67769815417,2.429779429,3.061330249,0.0,7.1725,13.0,2900.0,2000.0,1.026,11.087,50.2,507.8,7.7,0.23,800.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2348.0,72.0,88.0,5.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,5.0,2.0,3.03,2.0,25.154,0.0,166.0,1.026,27.0,4.7,37.93,1.75,5.3,3.0,26,1,eV,B1,0.93
6.0,0.95,9299.898366942043,12.408850000000001,4.711179498,-4.511807935,8.267292124999999,0.0,6.545,-4.425625,2175.105,160.0,14.0,0.7849999999999999,77.5,1230.6255,220.5,2.5e-12,10.0,2.54,11.41606,3.9805,-7.444569682085,2.7604807229999997,3.4779877705,0.0,10.970625,14.0,2100.0,1250.0,1.033,20.1055,25.2775,255.2964,15.15,0.97,1101.45,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1205.525,77.0,80.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,6.0,2.0,2.065,2.0,27.377499999999998,0.0,180.0,1.034,13.51299,122.35,42.689,1.7,6.08,4.0,37,1,eV,B1N1,8.0
6.8,0.8300000000000001,11158.237406799755,13.924039999999998,4.7795908990000004,-3.46242347,5.947962883999999,0.0,6.8420000000000005,-1.49,1763.26,128.0,14.8,0.766,73.2,984.8574,176.4,2e-12,95.46,2.88,11.490038,0.6096,-5.525154404668,2.5504480438000003,3.2133631767999997,0.0,8.332,14.8,1460.0,1100.0,0.9611999999999999,22.0616,20.212000000000003,205.16654,13.46,0.9319999999999998,1108.58,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,0.0,0.0,0.0,0.4,0.6,0.0,0.0,972.08,81.0,73.6,3.2,4.8,0.0,0.0,0.0,0.0,3.2,2.8,0.0,2.0,6.8,2.0,1.6932,2.0,31.1318,0.0,73.60000000000001,0.9624,10.96044,469.88,48.132400000000004,0.7,2.12,2.4,40,1,eV,B2O3,7.0
10.0,1.13,17.75594454096297,20.892381,5.351447936,-4.82473373,10.163741065,0.0,10.135,-4.7363690475,2413.25,165.5,14.0,0.94,95.5,2141.5,223.0,2.50005e-12,49.35,2.115,9.392354999999998,1.5745,-6.039103598335,2.9951850325000002,3.773696671,0.0,14.8713690476,14.0,2450.0,3550.0,0.8975,17.4555,34.370000000000005,260.1,13.299999999999999,0.2,906.1500000000001,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1332.65,77.5,95.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,10.0,2.5,3.33,2.5,22.439500000000002,0.0,84.0,0.8975,13.6175,65.85,34.055,1.7,5.425,4.0,42,1,eV,B1P1,2.0
19.0,1.185,14.51086650123137,42.866299999999995,5.6658999205,-4.590697625000001,8.36712622,0.0,12.56,-2.11375,2580.0,171.0,14.0,1.01,101.5,4093.5,240.0,1.9000000000025,52.0,2.1100000000000003,9.04331,0.762,-5.664293634585,2.9847319125,3.760526565,0.0,14.67375,14.0,3100.0,3000.0,0.6775,17.863500000000002,37.32,270.1,14.6,0.40499999999999997,873.8,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1719.0,78.0,101.5,4.0,9.0,0.0,5.0,0.0,0.0,4.0,2.0,0.0,2.0,19.0,3.0,3.67,3.0,21.8935,0.0,166.0,0.678,38.5,10.05,33.1405,1.595,5.05,4.0,47,1,eV,B1As1,1.46
28.0,1.2850000000000001,18.74459535453692,66.2855,6.087293026,-4.428173195,9.324384389999999,0.0,16.6,-2.76625,3066.5,181.0,14.0,1.1099999999999999,111.5,4578.5,254.0,1.3000000000025,64.0,2.045,8.453205,0.762,-5.397530247084999,3.20568071,4.0389046055,0.0,19.36625,14.0,5400.0,2700.0,0.6165,18.1585,34.995000000000005,287.885,18.95,0.495,817.1500000000001,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1625.8899999999999,78.5,121.5,4.0,9.0,0.0,5.0,0.0,0.0,4.0,2.0,0.0,2.0,28.0,3.5,4.8149999999999995,3.5,20.842,10.0,166.0,0.6165,25.65,7.85,31.615000000000002,1.505,4.85,4.0,51,1,eV,B1Sb1,2.6
6.0,0.91,8.82508971529172,12.0107,4.726663002,-4.87176209,8.67608379,0.0,6.6,0.96,4300.0,33.0,14.0,0.77,76.0,2260.0,7.0,0.07,122.3,2.55,11.2603,4.496,-9.209713655,2.242692341,2.825615289,0.0,5.64,14.0,500.0,500.0,0.709,8.517,117.4,715.0,5.6,0.16,1086.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3823.0,77.0,77.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,6.0,2.0,1.67,2.0,24.383,0.0,194.0,0.709,0.0,1.0,47.887,1.77,6.24,4.0,52,1,eV,C,6.244999999999999
29.2,1.0939999999999999,35.787278202449144,66.32534,6.883470302,-1.7732578499999998,3.3409887659999997,0.0,21.768,-2.944,1125.6,8.12,16.4,1.0659999999999998,111.2,2948.0,1.4,0.014000000000000082,284.14,2.878,11.703100000000001,2.0648,-3.108363001,3.5622316234,4.4881306065999995,0.0,24.712,16.4,2740.0,5620.0,0.5209999999999999,62.2554,27.708,154.78,53.199999999999996,1.6,1129.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,977.24,91.4,15.4,1.6,14.4,0.0,8.0,0.0,0.0,1.6,4.4,0.0,2.0,29.2,3.6,2.774,3.6,22.3166,0.0,90.0,0.3226,0.09759999999999999,0.2,38.3774,0.354,1.248,6.3999999999999995,60,1,eV,C1Br4,3.7
43.6,1.246,35.892103917965464,103.92571600000001,7.561920199599999,-1.8171553379999998,5.329802782,0.0,29.608,-5.932,1225.8400000000001,12.76,16.4,1.218,126.4,4404.0,1.4,0.014000000008000002,260.7,2.638,10.613068,1.7488000000000001,-3.046264665,3.9801529954,5.014678541,0.0,35.54,16.4,4020.0,3940.0,0.31299999999999994,45.2474,29.688000000000002,159.72,35.12,1.7920000000000003,1024.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1074.08,92.2,15.4,1.6,14.4,0.0,8.0,0.0,0.0,1.6,4.4,0.0,2.0,43.6,4.4,4.354,4.4,20.1814,0.0,90.0,0.2578,0.3592,69.8,35.9774,0.354,1.248,6.3999999999999995,61,1,eV,C1I4,2.26
