AtomicNumber_composition_average,AtomicRadii_composition_average,AtomicVolume_composition_average,AtomicWeight_composition_average,BCCefflatcnt_composition_average,BCCenergy_pa_composition_average,BCCfermi_composition_average,BCCmagmom_composition_average,BCCvolume_pa_composition_average,BCCvolume_padiff_composition_average,BoilingT_composition_average,BulkModulus_composition_average,Column_composition_average,CovalentRadii_composition_average,CovalentRadius_composition_average,Density_composition_average,ElasticModulus_composition_average,ElectricalConductivity_composition_average,ElectronAffinity_composition_average,Electronegativity_composition_average,FirstIonizationEnergy_composition_average,GSbandgap_composition_average,GSenergy_pa_composition_average,GSestBCClatcnt_composition_average,GSestFCClatcnt_composition_average,GSmagmom_composition_average,GSvolume_pa_composition_average,Group_composition_average,HHIp_composition_average,HHIr_composition_average,HeatCapacityMass_composition_average,HeatCapacityMolar_composition_average,HeatFusion_composition_average,HeatVaporization_composition_average,ICSDVolume_composition_average,IonicRadii_composition_average,IonizationEnergy_composition_average,IsAlkali_composition_average,IsAlkalineEarth_composition_average,IsBCC_composition_average,IsBoron_composition_average,IsCarbon_composition_average,IsChalcogen_composition_average,IsDBlock_composition_average,IsFBlock_composition_average,IsFCC_composition_average,IsHalogen_composition_average,IsHexagonal_composition_average,IsMetal_composition_average,IsMetalloid_composition_average,IsMonoclinic_composition_average,IsNobleGas_composition_average,IsNonmetal_composition_average,IsOrthorhombic_composition_average,IsPnictide_composition_average,IsRareEarth_composition_average,IsRhombohedral_composition_average,IsSimpleCubic_composition_average,IsTetragonal_composition_average,IsTransitionMetal_composition_average,MeltingT_composition_average,MendeleevNumber_composition_average,MiracleRadius_composition_average,NUnfilled_composition_average,NValance_composition_average,NdUnfilled_composition_average,NdValence_composition_average,NfUnfilled_composition_average,NfValence_composition_average,NpUnfilled_composition_average,NpValence_composition_average,NsUnfilled_composition_average,NsValence_composition_average,Number_composition_average,Period_composition_average,Polarizability_composition_average,Row_composition_average,SecondIonizationEnergy_composition_average,ShearModulus_composition_average,SpaceGroupNumber_composition_average,SpecificHeatCapacity_composition_average,ThermalConductivity_composition_average,ThermalExpansionCoefficient_composition_average,ThirdIonizationEnergy_composition_average,n_ws^third_composition_average,phi_composition_average,valence_composition_average,index,Reliability,Band gap units,chemicalFormula Clean,Band gap values Clean
37.5,1.4195000000000002,21.14218045884135,86.87805,6.600358579,-6.697361355,8.183102245,0.0,19.13,-2.2449999999999997,2402.0,101.0,10.5,1.29,139.0,6918.5,163.0,5.25,82.5,1.855,7.68745,0.0,-6.81153944,3.3998311350000003,4.283518813,0.0,21.375,10.5,5500.0,3750.0,0.328,24.29,20.395,203.735,21.1,0.69,743.25,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,1541.8899999999999,67.0,142.5,4.5,10.5,2.5,7.5,0.0,0.0,1.5,1.5,0.5,1.5,37.5,4.5,9.1,4.5,16.515,67.5,197.5,0.328,59.0,7.95,28.130000000000003,1.495,4.525,5.5,328,1,eV,Cr1Sb1,0.2
38.0,1.4245,23.0248130982204,89.79804999999999,6.655877998999999,-6.1694629999999995,7.96747843,0.0,19.735,-3.2416666664999996,2102.5,112.5,11.0,1.27,138.5,6690.0,149.5,3.9501000000000004,127.075,1.88,7.8880550000000005,0.232,-6.323509523335,3.465027658,4.365661285,0.0,22.976666666649997,11.0,3000.0,4500.0,0.3255,24.54,19.189999999999998,195.065,22.95,0.7949999999999999,761.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1451.33,69.5,135.0,4.0,11.0,2.5,7.5,0.0,0.0,1.0,2.0,0.5,1.5,38.0,4.5,8.55,4.5,17.55,65.5,190.5,0.3255,48.025,11.850000000000001,29.46,0.865,2.325,6.0,329,1,eV,CrTe,0.02
13.666666666666668,0.8999999999999999,12398.869012481466,28.978948333333335,5.103114344333333,-4.596637993333333,4.574003226666667,0.27285763333333335,8.39,-1.1758620690000001,838.0666666666666,40.0,13.0,0.8766666666666666,90.33333333333334,2490.9526666666666,66.0,0.16666666666666666,94.06666666666666,2.81,11.556706666666667,0.0,-6.17804968678,2.6732080203333335,3.3680310553333337,0.00010337356321833333,9.565862068966666,13.0,866.6666666666667,933.3333333333333,0.7716666666666666,28.358666666666668,4.45,75.5206,15.6,1.1566666666666665,1115.0666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,542.8666666666667,75.33333333333333,86.66666666666666,3.0,6.333333333333334,1.6666666666666667,1.6666666666666667,0.0,0.0,1.3333333333333333,2.6666666666666665,0.0,2.0,13.666666666666668,2.6666666666666665,3.668,2.6666666666666665,28.624666666666666,26.0,80.33333333333333,0.7733333333333334,2.7849333333333335,527.2333333333333,47.845,0.5366666666666667,1.4833333333333334,3.666666666666667,330,1,eV,Mn1O2,0.26
16.5,0.985,9302.204935477499,35.4687225,5.207235632,-5.665081185,5.32423809,0.40928645,8.92,-0.8762931035,1212.05,60.0,11.5,0.95,102.5,3735.7145,99.0,0.25,70.55,2.495,10.526035,0.0,-6.88867857767,2.694365137,3.394687352,0.0001550603448275,9.796293103450001,11.5,1050.0,1150.0,0.6985,27.849,6.565,111.57545,14.75,1.035,1015.6500000000001,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,786.9,69.5,98.0,3.5,6.5,2.5,2.5,0.0,0.0,1.0,2.0,0.0,2.0,16.5,3.0,5.101,3.0,25.3785,39.0,114.5,0.7,4.0437,400.85,44.3005,0.805,2.225,4.5,331,1,eV,Mn1O1,3.7
14.333333333333334,0.8933333333333333,12405.1432797076,30.9782838,5.258804772333334,-3.50876834,1.4670059133333333,0.27285763333333335,9.123333333333333,-0.8441954023333333,834.5866666666667,40.0,13.666666666666668,0.8699999999999999,84.33333333333334,2491.1306666666665,66.0,0.16666666666666666,218.66666666666666,3.17,14.093206666666667,1.3133333333333332,-4.13889572178,2.7110719816666666,3.4157366573333334,0.00010337356321833333,9.967528735633334,13.666666666666668,1533.3333333333335,1600.0,0.709,29.642666666666667,4.473333333333334,75.42653333333334,14.999999999999998,1.11,1359.8000000000002,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,542.0,79.33333333333333,44.0,2.3333333333333335,7.0,1.6666666666666667,1.6666666666666667,0.0,0.0,0.6666666666666666,3.3333333333333335,0.0,2.0,14.333333333333334,2.6666666666666665,3.5046666666666666,2.6666666666666665,28.526666666666667,26.0,82.33333333333333,0.7093333333333334,2.625266666666667,1207.2333333333333,53.027,0.5366666666666667,1.4833333333333334,3.0,337,1,eV,Mn1F2,10.05
16.0,1.3825,15.49899450453205,33.9706652,6.231682971250001,-4.955243037500001,7.716790735,0.204643225,15.3175,0.33560344825,2677.5,87.0,11.5,1.1775,125.5,3892.5,102.375,28.400000000000002,33.75,1.595,6.347831,0.0,-5.064208652585,3.0941374965,3.8983689624999998,7.753017241375e-05,14.981896551724999,11.5,1600.0,1200.0,0.7925,24.729999999999997,11.260000000000002,273.035,15.5,0.5725,612.5500000000001,0.0,0.0,0.25,0.75,0.0,0.0,0.25,0.0,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1079.8525,67.75,138.75,5.0,4.0,1.25,1.25,0.0,0.0,3.75,0.75,0.0,2.0,16.0,3.25,7.449999999999999,3.25,18.031,39.0,223.0,0.795,179.705,22.750000000000004,29.752,1.445,4.2625,4.0,340,1,eV,Mn1Al3,0.58
19.5,1.28,16.11454109110565,41.5117725,5.8398660865,-6.886210575,8.74467868,0.40928645,12.559999999999999,-2.9037931035,2753.5,110.0,10.5,1.1400000000000001,125.0,4900.0,180.0,0.2502,66.8,1.725,7.7928500000000005,0.3865,-7.2227416276700005,3.101343163,3.9074475335,0.0001550603448275,15.463793103450001,10.5,3150.0,1400.0,0.5954999999999999,23.155,31.560000000000002,289.37,16.1,0.465,751.9,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1603.0,65.0,121.0,4.5,5.5,2.5,2.5,0.0,0.0,2.0,1.0,0.0,2.0,19.5,3.5,7.465,3.5,15.9925,39.0,222.0,0.59,77.91,12.15,33.579499999999996,1.5550000000000002,4.575,5.5,341,1,eV,MnSi,0.6
20.5,1.255,19.68962513013485,43.5015225,5.9092663575,-5.936599955,7.6702643550000005,0.40928645,13.065,-5.0722306034999995,1525.8600000000001,63.85,11.5,1.095,122.0,4715.0,108.5,0.2500000000000003,100.21,2.065,8.897015,1.101,-6.558890984545,3.240060521,4.082220453,0.0001550603448275,18.13723060345,11.5,1150.0,1400.0,0.5934999999999999,24.509999999999998,7.3155,114.87,18.95,0.48,858.49,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,953.6800000000001,70.0,117.5,3.5,6.5,2.5,2.5,0.0,0.0,1.0,2.0,0.0,2.0,20.5,3.5,6.15,3.5,19.485,39.0,143.5,0.595,4.0445,45.85,34.2485,0.805,2.225,6.5,343,1,eV,Mn1S1,6.2
31.0,1.3466666666666667,22.2101045724179,70.95268166666666,6.412685740333334,-4.890630993333334,6.266154606666667,0.27285763333333335,16.95,-3.8258620690000003,1416.6666666666665,45.53333333333333,13.0,1.1633333333333333,126.33333333333334,5702.666666666666,79.33333333333333,5.5,129.97333333333333,2.216666666666667,8.9796,0.5326666666666667,-5.32071635678,3.4050648336666667,4.29011286,0.00010337356321833333,20.775862068966667,13.0,2000.0,4600.0,0.37366666666666665,25.682,8.763333333333334,90.79333333333334,23.933333333333334,0.5566666666666666,866.4,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,835.6666666666666,76.66666666666667,122.66666666666667,3.0,13.0,1.6666666666666667,8.333333333333334,0.0,0.0,1.3333333333333333,2.6666666666666665,0.0,2.0,31.0,4.0,5.6466666666666665,4.0,19.34,28.46666666666667,81.66666666666666,0.37333333333333335,3.966666666666667,37.233333333333334,31.769,0.5366666666666667,1.4833333333333334,6.333333333333334,345,1,eV,Mn1Se2,0.2
29.5,1.3199999999999998,19.71075454571305,66.9490225,6.189414179,-5.885575935,6.593351625,0.40928645,15.34,-2.8637931035,1646.0,64.15,11.5,1.165,129.5,6144.5,109.0,4.25,97.48,2.05,8.593205000000001,0.3995,-6.245678580170001,3.2432577470000004,4.0862487055,0.0001550603448275,18.20379310345,11.5,1900.0,3900.0,0.4,25.8415,9.8,123.03,21.0,0.585,829.15,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1006.5,70.5,125.0,3.5,11.5,2.5,7.5,0.0,0.0,1.0,2.0,0.0,2.0,29.5,4.0,6.585,4.0,18.415,40.85,115.5,0.4,4.93,33.35,32.2435,0.805,2.225,6.5,346,1,eV,Mn1Se1,1.8
38.5,1.42,23.08469659407285,91.2690225,6.5992773965,-5.85226459,7.766428435,0.40928645,19.405,-3.2204597699999997,1797.5,92.5,11.5,1.2650000000000001,138.5,6855.0,119.0,0.2501,95.075,1.8250000000000002,8.221810000000001,0.232,-6.080933878505,3.4349057619999996,4.3277100740000005,0.0001550603448275,22.625459770099997,11.5,2250.0,3350.0,0.3405,26.025,15.145,135.185,23.049999999999997,0.8200000000000001,793.3,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1120.83,71.0,136.0,3.5,11.5,2.5,7.5,0.0,0.0,1.0,2.0,0.0,2.0,38.5,4.5,7.45,4.5,17.12,47.0,184.5,0.34099999999999997,5.085,20.25,30.8135,0.805,2.225,6.5,347,1,eV,Mn1Te1,1.25
43.0,1.48,26.708693970230964,103.37934833333333,6.9591700303333335,-4.846215866666666,7.8302570199999995,0.27285763333333335,22.37,-4.301417624333332,1618.6666666666665,83.33333333333334,13.0,1.2966666666666666,138.33333333333334,6650.0,92.66666666666667,0.1668,126.76666666666667,1.916666666666667,8.484406666666667,0.30933333333333335,-5.10105675456,3.660595520333333,4.612061351333334,0.00010337356321833333,26.6714176245,13.0,2466.6666666666665,3866.6666666666665,0.29433333333333334,25.926666666666666,15.89,107.0,26.666666666666664,0.87,818.6,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,988.1066666666666,77.33333333333333,137.33333333333331,3.0,13.0,1.6666666666666667,8.333333333333334,0.0,0.0,1.3333333333333333,2.6666666666666665,0.0,2.0,43.0,4.666666666666667,6.8,4.666666666666667,17.613333333333333,36.666666666666664,173.66666666666666,0.2946666666666667,4.173333333333334,19.766666666666666,29.862333333333332,0.5366666666666667,1.4833333333333334,6.333333333333334,348,1,eV,Mn1Te2,0.48
43.66666666666667,1.3,32.510139800955436,102.91566166666667,7.353689497666666,-3.6591393533333334,5.520469246666667,0.27285763333333335,27.076666666666668,-5.095862069,1082.8666666666668,45.13333333333333,13.666666666666668,1.2766666666666666,139.0,5783.333333333334,66.0,0.16666666667333332,196.86666666666667,2.29,9.445513333333333,0.7080000000000001,-4.010456695113334,3.862290935,4.866181650000001,0.00010337356321833333,32.172528735633335,13.666666666666668,3800.0,3800.0,0.30233333333333334,45.06,9.476666666666667,87.18,32.4,1.6900000000000002,911.4,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,764.2333333333333,81.33333333333333,44.0,2.3333333333333335,13.666666666666668,1.6666666666666667,8.333333333333334,0.0,0.0,0.6666666666666666,3.3333333333333335,0.0,2.0,43.66666666666667,4.666666666666667,6.483333333333333,4.666666666666667,17.967333333333332,26.0,115.0,0.25666666666666665,2.906,65.23333333333333,33.22233333333333,0.5366666666666667,1.4833333333333334,7.0,351,1,eV,Mn1I2,4.04
15.2,0.9344000000000001,11160.029245881458,31.937640000000002,5.160061765,-4.79004471,4.424717472,0.84426512,8.690000000000001,-1.065,1307.6599999999999,68.0,12.8,0.9059999999999999,92.4,3150.4574,84.4,4.4799999999999995,94.25999999999999,2.7960000000000003,11.331790000000002,0.0,-6.168268887,2.6901056238,3.389320702,0.84426512,9.754999999999999,12.8,1260.0,860.0,0.7303999999999999,27.666800000000002,5.656,141.84654,15.06,1.0599999999999998,1092.06,0.0,0.0,0.4,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.6,0.0,0.4,757.28,74.2,88.4,2.8,6.800000000000001,1.6,2.4,0.0,0.0,1.2,2.4,0.0,2.0,15.2,2.8,3.8412,2.8,27.5422,32.8,98.8,0.7316,32.24044,472.72,45.2208,0.708,1.972,3.5999999999999996,353,1,eV,Fe2O3,2.34
18.0,1.2936666666666667,17.270040134255968,37.33866666666667,5.9593707049999995,-6.029835046666667,8.760107596666668,0.7035542666666667,13.316666666666666,-3.8866666666666667,3160.0,123.33333333333334,12.0,1.1300000000000001,118.0,4178.0,178.33333333333331,3.7335999999999996,97.06666666666666,1.8766666666666665,8.068586666666667,0.5153333333333333,-6.378440123333334,3.222874352333333,4.060567237333333,0.7035542666666667,17.203333333333333,12.0,3933.3333333333335,1133.3333333333333,0.6243333333333333,21.693333333333335,38.07666666666667,355.83333333333337,17.233333333333334,0.3566666666666667,777.3666666666667,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1728.3333333333335,70.33333333333333,115.0,4.0,5.333333333333333,1.3333333333333333,2.0,0.0,0.0,2.6666666666666665,1.3333333333333333,0.0,2.0,18.0,3.333333333333333,6.486666666666667,3.333333333333333,16.29,27.333333333333332,227.66666666666669,0.6163333333333333,125.4,5.666666666666667,32.545,1.5899999999999999,4.776666666666666,4.666666666666666,356,1,eV,Fe1Si2,0.9
20.0,1.2805,15.89687134307755,41.96525,5.8589897185,-6.5937473749999995,8.182954055,1.0553314,12.67,-2.915,3153.5,135.0,11.0,1.1400000000000001,121.5,5102.0,186.5,5.6002,78.8,1.865,8.02704,0.3865,-6.8552011825,3.111886609,3.9207314435000002,1.0553314,15.585,11.0,3550.0,1200.0,0.5805,22.545,32.01,354.25,15.85,0.405,772.8499999999999,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1749.0,66.5,117.5,4.0,6.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,20.0,3.5,6.965,3.5,16.2625,41.0,228.0,0.5745,114.1,7.2,32.0715,1.635,4.8149999999999995,5.0,357,1,eV,Fe1Si1,0.1
18.666666666666664,1.2670000000000001,22.73520286760823,39.26417466666666,5.916766438333333,-5.883852253333334,8.86241459,0.7035542666666667,13.016666666666666,-5.606825396666667,1413.6666666666667,64.0,12.666666666666666,1.0966666666666667,115.33333333333333,3840.0,73.66666666666666,3.733333333333333,55.800000000000004,2.07,9.625259999999999,1.0833333333333333,-6.362167481666667,3.3000348836666666,4.157783416,0.7035542666666667,18.623492063466667,12.666666666666666,2133.333333333333,3866.6666666666665,0.6623333333333334,24.249333333333333,16.96333333333333,124.76666666666667,16.5,0.2966666666666667,927.5666666666667,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,815.1999999999999,73.66666666666667,109.66666666666666,3.333333333333333,6.0,1.3333333333333333,2.0,0.0,0.0,2.0,2.0,0.0,2.0,18.666666666666664,3.333333333333333,5.220000000000001,3.333333333333333,18.543333333333333,27.333333333333332,77.66666666666666,0.6623333333333334,26.89,88.60000000000001,30.337000000000003,1.69,5.343333333333333,5.333333333333334,360,1,eV,Fe1P2,0.4
19.333333333333332,1.2603333333333333,22.036818852961567,39.99166666666666,6.051904399666666,-4.763687553333334,7.327555163333333,0.7035542666666667,13.989999999999998,-6.777916666666666,1523.1466666666668,61.8,13.333333333333332,1.07,114.0,3931.333333333333,83.0,3.7333333333333334,141.61333333333332,2.33,9.540806666666667,1.468,-5.4933059325,3.4078308296666666,4.293597796666667,0.7035542666666667,20.767916666666668,13.333333333333332,1266.6666666666667,1133.3333333333333,0.6216666666666666,23.5,5.750666666666667,123.16666666666667,21.03333333333333,0.3766666666666667,919.4866666666667,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,862.5733333333333,77.0,110.33333333333334,2.6666666666666665,6.666666666666666,1.3333333333333333,2.0,0.0,0.0,1.3333333333333333,2.6666666666666665,0.0,2.0,19.333333333333332,3.333333333333333,4.733333333333333,3.333333333333333,20.946666666666665,27.333333333333332,123.0,0.623,26.912666666666667,50.599999999999994,33.437,0.59,1.6433333333333333,6.0,361,1,eV,Fe1S2,1.2
30.666666666666664,1.3403333333333334,18.4084321479661,68.56273333333333,6.336035751,-5.571804113333334,6.46692813,0.7035542666666667,16.25,-2.11,1636.0,71.33333333333333,12.666666666666666,1.19,123.33333333333333,6442.666666666666,96.33333333333333,6.266666666666666,59.333333333333336,2.0633333333333335,9.159866666666668,0.0,-5.862420863333334,3.2860973903333335,4.140223274666667,0.7035542666666667,18.36,12.666666666666666,3000.0,3133.333333333333,0.369,24.793333333333333,20.89666666666667,138.1,18.233333333333334,0.5700000000000001,884.4333333333334,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,1330.3333333333333,74.33333333333333,118.33333333333334,3.333333333333333,12.666666666666666,1.3333333333333333,8.666666666666668,0.0,0.0,2.0,2.0,0.0,2.0,30.666666666666664,4.0,5.673333333333334,4.0,17.81533333333333,27.333333333333332,187.0,0.3696666666666667,60.06666666666667,14.200000000000001,29.117666666666665,1.5499999999999998,4.843333333333333,5.333333333333334,362,1,eV,Fe1As2,0.2
22.666666666666664,1.4843333333333333,20.598662268908498,48.58560799999999,6.573967726333333,-6.87655556,5.118365170000001,0.7035542666666667,18.376666666666665,-0.023333333333333334,3113.333333333333,94.66666666666666,4.666666666666666,1.3499999999999999,157.33333333333331,4614.666666666666,123.66666666666666,4.7333333333333325,20.06666666666667,1.5166666666666666,7.0084599999999995,0.0,-6.9521701799999995,3.2882238069999996,4.142902392,0.7035585,18.4,4.666666666666666,4466.666666666666,3466.6666666666665,0.5283333333333333,25.38,14.003333333333334,319.70000000000005,20.499999999999996,0.6833333333333333,673.7666666666667,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1813.0,25.666666666666664,149.66666666666666,7.333333333333333,4.666666666666666,7.333333333333333,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,2.0,22.666666666666664,4.0,14.666666666666668,4.0,13.926666666666666,46.666666666666664,205.66666666666669,0.5283333333333333,37.266666666666666,10.600000000000001,26.723666666666666,1.4366666666666665,3.8099999999999996,4.0,364,1,eV,Fe1Sc2,0.77
42.666666666666664,1.4736666666666667,24.0534039523735,99.78833333333333,6.897893225,-5.3551048733333335,7.743272356666667,0.7035542666666667,21.636666666666667,-2.98,2284.666666666667,84.66666666666666,12.666666666666666,1.3233333333333333,136.66666666666669,7089.333333333334,115.0,5.466666666666667,75.33333333333333,1.9766666666666666,8.37306,0.0,-5.506736346666667,3.580695787,4.511393995333333,0.7035542666666667,24.616666666666667,12.666666666666666,6066.666666666667,2733.333333333333,0.2876666666666666,25.186666666666667,17.796666666666667,161.81333333333333,24.03333333333333,0.6900000000000001,808.9000000000001,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,1206.1866666666665,75.0,145.0,3.333333333333333,12.666666666666666,1.3333333333333333,8.666666666666668,0.0,0.0,2.0,2.0,0.0,2.0,42.666666666666664,4.666666666666667,7.199999999999999,4.666666666666667,16.413333333333334,40.666666666666664,187.0,0.2876666666666666,42.93333333333334,11.266666666666666,27.083666666666666,1.43,4.576666666666667,5.333333333333334,366,1,eV,Fe1Sb2,0.17
41.6,1.4564000000000004,25.08495922134524,98.898,6.830511882400001,-5.014664796,7.355345886,0.84426512,21.272,-3.877999999799999,2010.1999999999998,107.0,12.8,1.284,135.6,6893.6,108.4,4.480119999999999,123.69,1.9920000000000002,8.56672,0.27840000000000004,-5.198975248002,3.5787543738,4.5089479684,0.84426512,25.149999999979997,12.8,2700.0,3500.0,0.3008,25.478,15.952000000000002,170.17800000000003,25.019999999999996,0.802,825.24,0.0,0.0,0.4,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.6,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1157.996,76.0,134.0,2.8,12.8,1.6,8.4,0.0,0.0,1.2,2.4,0.0,2.0,41.6,4.6,6.66,4.6,17.631999999999998,42.4,182.8,0.3008,33.489999999999995,16.0,29.0364,0.708,1.972,6.0,368,1,eV,Fe2Te3,0.6
43.33333333333333,1.4803333333333333,26.563580804878896,103.68166666666666,6.971919118333333,-4.6512404,7.455773936666667,0.7035542666666667,22.443333333333335,-4.308888888666666,1885.3333333333335,100.0,13.333333333333332,1.2966666666666666,136.0,6784.666666666666,97.0,3.7334666666666663,134.76666666666665,2.0100000000000002,8.640533333333334,0.30933333333333335,-4.856029791113333,3.667624484333333,4.620917291333333,0.7035542666666667,26.7522222222,13.333333333333332,2733.333333333333,3733.333333333333,0.2843333333333333,25.52,16.189999999999998,150.25333333333333,26.499999999999996,0.83,832.5666666666667,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1085.44,78.33333333333333,135.0,2.6666666666666665,13.333333333333332,1.3333333333333333,8.666666666666668,0.0,0.0,1.3333333333333333,2.6666666666666665,0.0,2.0,43.33333333333333,4.666666666666667,6.466666666666667,4.666666666666667,17.793333333333333,38.0,177.66666666666666,0.2843333333333333,28.3,16.46666666666667,28.857,0.59,1.6433333333333333,6.0,369,1,eV,Fe1Te2,0.46
44.0,1.3003333333333333,32.365026635603364,103.21798,7.366438585666666,-3.464163886666667,5.145986163333333,0.7035542666666667,27.150000000000002,-5.1033333333333335,1349.5333333333333,61.8,14.0,1.2766666666666666,136.66666666666669,5918.0,70.33333333333333,3.7333333333399996,204.86666666666667,2.3833333333333333,9.60164,0.7080000000000001,-3.765429731666667,3.8693198989999997,4.87503759,0.7035542666666667,32.25333333333333,14.0,4066.6666666666665,3666.6666666666665,0.29233333333333333,44.653333333333336,9.776666666666667,130.43333333333334,32.233333333333334,1.6500000000000001,925.3666666666667,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,861.5666666666666,82.33333333333333,41.666666666666664,2.0,14.0,1.3333333333333333,8.666666666666668,0.0,0.0,0.6666666666666666,3.3333333333333335,0.0,2.0,44.0,4.666666666666667,6.15,4.666666666666667,18.147333333333332,27.333333333333332,119.0,0.24633333333333335,27.032666666666668,61.93333333333334,32.217,0.59,1.6433333333333333,6.666666666666667,371,1,eV,Fe1I2,5.15
