,chemicalFormula,Band gap value,Band gap units,Band gap method
159,Al1P1,2.45,eV,Absorption
160,Al1P1,2.51,eV,Absorption
161,Al1P1,2.42,eV,
162,Al1P1,2.65,eV,Estimated
163,Al2S3,4.1,eV,Absorption
164,Al1As1,2.1,eV,
165,Al1As1,2.9,eV,
166,Al1As1,2.25,eV,
167,Al1As1,2.228,eV,Absorption
168,Al1As1,2.223,eV,Absorption
169,Al1As1,2.205,eV,Absorption
170,Al1As1,2.13,eV,
171,Al1As1,2.16,eV,Absorption
172,Al1As1,2.2,eV,Absorption
173,Al1As1,3.5,eV,
174,Al1As1,2.233,eV,Absorption
175,Al1As1,2.215,eV,Absorption
176,Al2Se3,3.1,eV,Absorption
177,Al1Sb1,1.62,eV,Reflection
178,Al1Sb1,2.218,eV,Reflection
179,Al1Sb1,1.62,eV,Reflection
180,Al1Sb1,1.6,eV,
181,Al2Te3,2.5,eV,Absorption
182,Al2Te3,2.5,eV,Thermal activation
183,Al2Te3,2.2,eV,Thermal activation
184,Al1Bi1,0.4,eV,Estimated
185,Si1C1,2.2,eV,Absorption
186,Si1C1,2.86,eV,Absorption
187,Si1C1,2.39,eV,Absorption
188,Si1C1,2.6,eV,Absorption
189,Si1C1,2.86,eV,Absorption
190,Si1C1,3.33,eV,Absorption
191,Si1C1,4.4,eV,Estimated
192,Si3N4,5,eV,
193,Si3N4,5.1,eV,Absorption
194,Si3N4,4.5,eV,Absorption
195,Si1O2,11,eV,Reflection
196,Si1O2,10.4,eV,Reflection
197,Si1O2,8,eV,Absorption
198,Si1O2,8.4,eV,Absorption
199,Si,1.12,eV,Absorption
200,Si,1.166,eV,
201,Si,1.17,eV,Absorption
202,Si,1.165,eV,Absorption
203,Si,1.16,eV,Absorption
204,Si,1.16,eV,Absorption
205,Si,1.12,eV,Absorption
206,Si1P2,1.89,eV,Absorption
207,Si1As1,1.45,eV,Absorption
208,Si1As1,1.48,eV,Absorption
209,Si1As1,1.57,eV,Absorption
210,Si1As1,2.2,eV,Absorption
211,Si1Se2,1.72,eV,Absorption
212,Si1Se2,1.74,eV,Absorption
213,Si1Sn1,0.59,eV,
214,Si2Te3,1.98,eV,Absorption
215,Si1Te2,1.85,eV,Absorption
216,Si1Te2,2.18,eV,Absorption
217,Si2Te3,2,eV,Absorption
218,P,0.33,eV,Reflection
219,P,1.6,eV,Reflection
220,P,1.4,eV,Absorption
221,P,0.35,eV,Thermal activation
222,P1As1,0.23,eV,Thermal activation
223,S,3.82,eV,Photoconduction
224,S,4.2,eV,Reflection
225,S,3.82,eV,Photoconduction
226,K1F1,10.9,eV,Reflection
227,K1F1,10.9,eV,Absorption
228,K1F1,9.61,eV,Reflection
229,K1F1,10.3,eV,Reflection
230,K2S1,2.1,eV,Estimated
231,K1Cl1,8.5,eV,Absorption
232,K1Cl1,8.9,eV,Photoconduction
233,K1Cl1,7.8,eV,Reflection
234,K1Cl1,8.69,eV,Reflection
235,K1Cl1,7.68,eV,Reflection
236,K2Se1,1.8,eV,Estimated
237,K1Br1,7.6,eV,Absorption
238,K1Br1,8,eV,Photoconduction
239,K1Br1,7.3,eV,Absorption
240,K1Br1,6.75,eV,Reflection
241,K1Br1,7.215,eV,Reflection
242,K1Br1,7.76,eV,Absorption
243,K1Br1,6.58,eV,Reflection
244,K1Br1,7.13,eV,Reflection
245,K3Sb1,1.8,eV,Absorption
246,K3Sb1,1,eV,Thermal activation
247,K3Sb1,1.4,eV,Absorption
248,K3Sb1,1.1,eV,Photoconduction
249,K3Sb1,1.1,eV,Absorption
250,K3Sb1,1.1,eV,Absorption
251,K2Te1,1.9,eV,Estimated
252,K1I1,6.17,eV,Reflection
253,K1I1,6.31,eV,Absorption
254,K1I1,6.25,eV,Reflection
255,K1I1,6.375,eV,Reflection
256,K1I1,6.08,eV,Absorption
257,K1I1,6.2,eV,Absorption
258,K1I1,6.2,eV,Absorption
259,K1I1,5.61,eV,Reflection
260,K1I1,5.92,eV,Absorption
261,K1I1,6.28,eV,Absorption
262,Ca1B6,4.5,eV,Reflection
263,Ca1B6,4.4,eV,
264,Ca1B6,3.3,eV,Reflection
265,Ca1O1,7.7,eV,Estimated
266,Ca1O1,6.1,eV,Absorption
267,Ca1O1,7,eV,Absorption
268,Ca1O1,7.03,eV,Reflection
269,Ca1O1,7.5,eV,Estimated
270,Ca1F2,10,eV,Absorption
271,Ca2Si1,1.9,eV,
272,Ca1S1,6,eV,Absorption
273,Ca1S1,5.38,eV,Absorption
274,Ca1Se1,4.87,eV,Absorption
275,Ca2Sn1,0.9,eV,Thermal activation
276,Ca1Te1,4.07,eV,Absorption
277,Ca1I2,5.98,eV,Absorption
278,Ca2Pb1,0.46,eV,Thermal activation
279,Sc1N1,2.6,eV,
280,Sc2O3,6,eV,Absorption
281,Sc2O3,6.2,eV,Absorption
282,Sc2O3,5.4,eV,Reflection
283,Sc2O3,1.7,eV,Thermal activation
284,Sc2S3,2,eV,Thermal activation
285,Ti1C0.9,0.3,eV,Magnetoreflection
286,Ti2O3,0.04,eV,
287,Ti1O2,3,eV,Electroreflection
288,Ti1O2,3.3,eV,Electroreflection
289,Ti2O3,0.02,eV,
290,Ti2O3,0.05,eV,Thermal activation
291,Ti1O2,3.05,eV,Photoconduction
292,Ti1O2,3.5,eV,Electroreflection
293,Ti1O2,3.75,eV,Absorption
294,Ti1O2,2.9,eV,Absorption
295,Ti1S2,1.24,eV,Estimated
296,Ti2S3,0.3,eV,Thermal activation
297,Ti1S3,0.9,eV,Absorption
298,Ti1S2,1.95,eV,Reflection
299,Ti1Se2,0.69,eV,Estimated
300,Ti1Se2,1.55,eV,Reflection
301,Ti1Te2,1,eV,Reflection
302,V1O1,0.3,eV,
303,V2O3,0.1,eV,Absorption
304,V2O5,2.34,eV,Absorption
305,V1O2,0.65,eV,Absorption
306,V2O4,0.66,eV,Absorption
307,V5O9,0.15,eV,Thermal activation
308,V4O7,0.8,eV,Thermal activation
309,V2O5,2.49,eV,Absorption
310,V2O5,2.54,eV,Absorption
311,V2O5,2.3,eV,Absorption
312,V2O5,2.36,eV,Absorption
313,V1O2,0.4,eV,Absorption
314,V2O5,2.32,eV,Absorption
315,V1O2,0.12,eV,
316,V2O5,1.95,eV,Thermal activation
317,Cr2O3,1.68,eV,Thermal activation
318,Cr1O2,0.23,eV,Absorption
319,Cr2O3,1.59,eV,Thermal activation
320,Cr2O3,1,eV,
321,Cr2O3,1.62,eV,Reflection
322,Cr1Si2,0.35,eV,Thermal activation
323,Cr2S3,0.9,eV,Thermal activation
324,Cr3Se4,0.015,eV,Thermal activation
325,Cr2Se3,0.025,eV,Thermal activation
326,Cr3Se4,0.015,eV,Thermal activation
327,Cr2Se3,0.15,eV,Thermal activation
328,Cr1Sb1,0.2,eV,Thermal activation
329,CrTe,0.02,eV,Thermal activation
330,Mn1O2,0.26,eV,Thermal activation
331,Mn1O1,3.7,eV,Absorption
332,Mn1O1,1.84,eV,Thermal activation
333,Mn1O1,2.6,eV,Thermal activation
334,Mn1O2,0.28,eV,Thermal activation
335,Mn1O2,0.7,eV,Thermal activation
336,Mn1O1,2.2,eV,Thermal activation
337,Mn1F2,9.9,eV,Absorption
338,Mn1F2,10.2,eV,Absorption
339,Mn1F2,10.24,eV,Absorption
340,Mn1Al3,0.58,eV,Thermal activation
341,MnSi,0.6,eV,Thermal activation
342,MnSi,0.8,eV,
343,Mn1S1,6.2,eV,Reflection
344,Mn1S1,6,eV,Reflection
