,chemicalFormula,Band gap value,Band gap units,Band gap method
683,Se,1.98,eV,Absorption
684,Se,2.01,eV,Reflection
685,Se,2.14,eV,Photoconduction
686,Se,2.2,eV,Reflection
687,Se,1.85,eV,Absorption
688,Se,2.4,eV,Absorption
689,Se1Te1,0.64,eV,Absorption
690,Se3Te1,1.87,eV,Absorption
691,SeTe,0.561,eV,Absorption
692,Se1Te1,1.58,eV,Absorption
693,Rb1F1,10.4,eV,Absorption
694,Rb1Cl1,8.29,eV,Absorption
695,Rb1Cl1,8.5,eV,Absorption
696,Rb1Cl1,8.3,eV,Reflection
697,Rb1Cl1,8.1,eV,Absorption
698,Rb1Cl1,8.2,eV,Absorption
699,Rb1Br1,7.2,eV,Absorption
700,Rb1Br1,7.25,eV,Reflection
701,Rb1Br1,7.65,eV,Absorption
702,Rb1Br1,7.7,eV,Absorption
703,Rb3Sb1,1,eV,Absorption
704,Rb3Sb1,0.9,eV,Thermal activation
705,Rb3Sb1,1,eV,Absorption
706,Rb3Sb1,1.7,eV,Absorption
707,Rb2Te1,4.5,eV,Photoconduction
708,Rb1I1,5.83,eV,Absorption
709,Rb1I1,6.26,eV,Absorption
710,Rb1I1,6.37,eV,Photoconduction
711,Rb1I1,6.25,eV,Reflection
712,Rb1I1,6.05,eV,Absorption
713,Rb1I1,6.1,eV,Absorption
714,Rb1I1,6.1,eV,Absorption
715,Rb1I1,6.36,eV,Photoconduction
716,Sr1O1,5.77,eV,Absorption
717,Sr1O1,5.7,eV,Reflection
718,Sr1O1,1.16,eV,Thermal activation
719,Sr1S1,4.76,eV,Absorption
720,Sr1S1,4.8,eV,Absorption
721,Sr1Se1,4.42,eV,Absorption
722,Sr1Se1,4.45,eV,Absorption
723,Sr1Te1,3.73,eV,Absorption
724,Sr1Te1,3.77,eV,Absorption
725,Y1N1,1.9,eV,Absorption
726,Y2O3,5.6,eV,Absorption
727,Y2O3,1.46,eV,Thermal activation
728,ZrC,0.6,eV,Thermal activation
729,Zr6O1,0.18,eV,Thermal activation
730,Zr3O1,0.2,eV,Thermal activation
731,Zr1O2,4.99,eV,Reflection
732,Zr1O2,0.65,eV,Thermal activation
733,Zr1O2,0.56,eV,Thermal activation
734,Zr1S2,1.68,eV,Absorption
735,Zr1S2,2.75,eV,Reflection
736,Zr1S3,2.17,eV,Absorption
737,Zr1S3,2.28,eV,Photoconduction
738,Zr1S2,0.85,eV,Thermal activation
739,Zr1Se2,2,eV,Reflection
740,Zr1Se3,1.25,eV,Absorption
741,Nb1O2,0.25,eV,Thermal activation
742,Nb2O5,3.48,eV,Absorption
743,Nb2O5,1.65,eV,Thermal activation
744,Nb2O5,3.08,eV,Reflection
745,Nb2S3,0.12,eV,Thermal activation
746,Nb1Se2,1.4,eV,Reflection
747,Mo1O3,3.66,eV,Thermal activation
748,Mo1O3,3.23,eV,Absorption
749,Mo1O3,3.66,eV,Absorption
750,Mo1O3,2.8,eV,Absorption
751,Mo1O3,2.96,eV,Absorption
752,Mo1O3,3.54,eV,Thermal activation
753,Mo1O3,3.7,eV,Absorption
754,Mo1S2,1.89,eV,Absorption
755,Mo1S2,0.25,eV,Absorption
756,Mo1S2,1.935,eV,Absorption
757,Mo1S2,1.83,eV,Absorption
758,Mo1S2,0.874,eV,Thermal activation
759,Mo1S2,1,eV,Thermal activation
760,Mo1Te2,0.83,eV,Absorption
761,Mo1Te2,1.02,eV,Absorption
762,Mo1Te2,1.08,eV,Absorption
763,Mo1Te2,1.82,eV,
764,Ru1P2,1,eV,Reflection
765,Ru1S2,1.8,eV,Reflection
766,Ru1As2,0.8,eV,Reflection
767,Ru1Se2,1,eV,Reflection
768,Ru1Sb2,0.3,eV,Thermal activation
769,Ru1Te2,0.25,eV,Thermal activation
770,Ru1Te2,0.25,eV,Thermal activation
771,Rh2S3,0.8,eV,Thermal activation
772,Rh1S3,1.5,eV,Absorption
773,Rh1Se2,0.6,eV,
774,Rh1Se3,0.7,eV,Absorption
775,Pd1O1,1.5,eV,Thermal activation
776,Pd1O1,0.6,eV,Reflection
777,Pd1P2,0.65,eV,Thermal activation
778,Pd1S1,0.5,eV,Thermal activation
779,Pd1S2,0.75,eV,Thermal activation
780,Pd1Se1,0.2,eV,Thermal activation
781,Pd1Se2,0.4,eV,Thermal activation
782,Pd1Te2,1.8,eV,
783,Ag1N3,3.9,eV,Photoconduction
784,Ag1N3,3.44,eV,Absorption
785,Ag2O1,1.2,eV,Photoconduction
786,Ag2O1,1.5,eV,Thermal activation
787,Ag2O1,1.591,eV,Absorption
788,Ag2O1,0.64,eV,Thermal activation
789,Ag2S1,1.03,eV,Photoconduction
790,Ag2S1,0.87,eV,Absorption
791,Ag2S1,1.23,eV,Photoconduction
792,Ag2S1,1,eV,Reflection
793,Ag1Cl1,3.25,eV,Absorption
794,Ag1Cl1,5.13,eV,Absorption
795,Ag1Cl1,3.22,eV,Absorption
796,Ag1Cl1,5.1,eV,Estimated
797,Ag1Cl1,3.246,eV,Absorption
798,Ag1Cl1,3.25,eV,Absorption
799,Ag1Cl1,3.252,eV,Absorption
800,Ag1Cl1,3.22,eV,Absorption
801,Ag1Cl1,3.226,eV,Absorption
802,Ag1Cl1,3.08,eV,Absorption
803,Ag2Se1,0.13,eV,Absorption
804,Ag2Se1,0.07,eV,Thermal activation
805,Ag2Se1,0.18,eV,Thermal activation
806,Ag2Se1,0.05,eV,
807,Ag2Se1,0.18,eV,
808,Ag1Br1,2.68,eV,Absorption
809,Ag1Br1,4.29,eV,Absorption
810,Ag1Br1,2.97,eV,Absorption
811,Ag1Br1,4.292,eV,Absorption
812,Ag1Br1,2.683,eV,Absorption
813,Ag1Br1,2.69,eV,Absorption
814,Ag1Br1,2.691,eV,Absorption
815,Ag1Br1,2.676,eV,Absorption
816,Ag1Br1,2.68,eV,Absorption
817,Ag1Br1,2.52,eV,Absorption
818,Ag1Br1,2.6,eV,Absorption
819,Ag2Te1,0.064,eV,Absorption
820,Ag1Te1,0.85,eV,Absorption
821,Ag2Te1,0.064,eV,
822,Ag2Te1,0.025,eV,
823,Ag2Te1,0.028,eV,Thermal activation
824,Ag2Te1,0.13,eV,Thermal activation
825,Ag2Te1,0.28,eV,
826,Ag2Te1,0.85,eV,Reflection
827,Ag2Te1,0.064,eV,
828,Ag2Te1,0.67,eV,Absorption
829,Ag2Te1,0.2,eV,
830,Ag1I1,2.919,eV,Absorption
831,Ag1I1,2.82,eV,Absorption
832,Cd1O1,1.2,eV,Absorption
833,Cd1O1,2.3,eV,Absorption
834,Cd1O1,2.35,eV,Reflection
835,Cd1F2,6,eV,
836,Cd1P2,1.55,eV,
837,Cd1P2,1.65,eV,
838,Cd1P2,1.92,eV,
839,Cd1P2,2.02,eV,Absorption
840,Cd3P2,0.52,eV,Thermal activation
841,Cd1P4,1,eV,Absorption
842,Cd3P2,0.58,eV,
843,Cd3P2,0.589,eV,
844,Cd3P2,0.586,eV,
845,Cd1P2,2.15,eV,Absorption
846,Cd3P2,0.55,eV,
847,Cd1P2,1.93,eV,Photoconduction
848,Cd1P4,1.15,eV,Thermal activation
849,Cd1S1,2.41,eV,Photoconduction
850,Cd1S1,2.425,eV,Photoconduction
851,Cd1S1,2.526,eV,
852,Cd1S1,2.582,eV,Reflection
853,Cd1S1,2.386,eV,
854,Cd1S1,2.582,eV,Absorption
855,Cd1S1,2.573,eV,Absorption
856,Cd1Cl2,5.7,eV,Reflection
857,Cd1Cl2,5.8,eV,
858,Cd1As2,1,eV,Absorption
859,Cd3As2,0.13,eV,Absorption
860,Cd1As2,1.04,eV,Absorption
861,Cd3As2,0.14,eV,
862,Cd1As2,0.89,eV,Absorption
863,Cd3As2,0.048,eV,Magnetoreflection
864,Cd3As2,0.425,eV,Thermal activation
865,Cd3As2,0.53,eV,Photoconduction
866,Cd1Sc1,1.714,eV,Photoconduction
867,Cd1Se1,1.816,eV,Photoconduction
868,Cd1Se1,1.83,eV,Photoconduction
869,Cd1Se1,1.84,eV,Absorption
870,Cd1Se1,1.865,eV,Absorption
871,Cd1Se1,1.815,eV,Photoconduction
872,Cd1Se1,1.821,eV,Photoconduction
873,Cd1Se1,1.733,eV,Photoconduction
874,Cd1Br2,4.47,eV,Reflection
875,Cd1In1,0.6,eV,Estimated
876,Cd1Sb1,0.45,eV,Absorption
877,Cd4Sb3,1.25,eV,Absorption
878,Cd1Sb1,0.535,eV,
879,Cd1Sb1,0.57,eV,Thermal activation
880,Cd1Sb1,0.585,eV,Absorption
881,Cd1Sb1,0.428,eV,Photoconduction
882,Cd1Sb1,0.43,eV,Absorption
883,Cd1Sb1,0.45,eV,Absorption
884,Cd1Sb1,0.465,eV,Absorption
885,Cd1Sb1,0.7,eV,Absorption
886,Cd1Te1,1.517,eV,Electroreflection
887,Cd1Te1,1.595,eV,Electroreflection
888,Cd1Te1,1.594,eV,Electroreflection
889,Cd1Te1,1.58,eV,Thermal activation
890,Cd1I2,3.266,eV,Absorption
891,Cd1I2,3.857,eV,Absorption
892,Cd1I2,3.478,eV,Absorption
893,Cd1I2,3.8,eV,Photoconduction
894,Cd1I2,4.228,eV,Absorption
895,Cd1I2,3.2,eV,Photoconduction
896,Cd1I2,3.19,eV,Absorption
897,Cd1I2,3.2,eV,Photoconduction
898,Cd1I2,6.25,eV,Absorption
899,Cd1I2,3.26,eV,Reflection
900,Cd3Bi2,0.2,eV,Estimated
901,In1N1,2.4,eV,Estimated
902,In2O3,2.619,eV,Absorption
903,In2O3,3.75,eV,Absorption
904,In2O3,2.8,eV,Reflection
905,In2O3,3.55,eV,Absorption
906,In1P1,1.351,eV,Absorption
907,In1P1,1.413,eV,Absorption
908,In1P1,1.34,eV,Electroreflection
909,In1P1,1.45,eV,Absorption
910,In1P1,1.41,eV,
911,In2S3,1.1,eV,Thermal activation
912,In2S3,2.03,eV,Absorption
913,In1S1,1.86,eV,Thermal activation
914,In4S5,0.9,eV,Photoconduction
915,In2S3,2.28,eV,
916,In1As1,0.356,eV,Magnetoabsorption
917,In1AsI,0.41,eV,
918,In1As1,0.41,eV,Magnetoabsorption
919,In1As1,0.409,eV,Magnetoabsorption
920,In1As1,0.412,eV,
921,In1As1,0.404,eV,Magnetoabsorption
922,In1As1,0.33,eV,Absorption
923,In1Se1,1.187,eV,Absorption
924,In1Se1,1.293,eV,Absorption
925,In2Se1,0.65,eV,Absorption
926,In2Se1,0.828,eV,Absorption
927,In2Se3,1.2,eV,Absorption
928,In1Se1,1.285,eV,Absorption
929,In1Se1,1.357,eV,Absorption
930,In1Se1,1.12,eV,Absorption
931,In1Se1,1.19,eV,Reflection
932,In1Se1,2.42,eV,Absorption
933,In1Se1,1.05,eV,Absorption
934,In1Sb1,0.17,eV,Absorption
935,In1Sb1,0.235,eV,Magnetoabsorption
936,In1Sb1,0.236,eV,Absorption
937,In1Sb1,0.175,eV,Absorption
938,In1Sb1,0.234,eV,
939,In1Sb1,0.236,eV,
940,In2Te3,0.84,eV,Reflection
941,In2Te3,1.12,eV,Reflection
942,In2Te3,1.15,eV,Thermal activation
943,In2Te3,1.11,eV,Absorption
944,In2Te3,0.85,eV,Absorption
945,In2Te3,1.026,eV,Thermal activation
946,In2Te3,1.09,eV,Absorption
947,In2Te3,1,eV,
948,Sn1O2,2.7,eV,Absorption
949,Sn1O2,4.3,eV,Absorption
950,Sn1O2,3.631,eV,Absorption
951,Sn1O2,3.947,eV,Absorption
952,Sn1O2,3.597,eV,Absorption
953,Sn1O2,2.6,eV,
954,Sn1O2,2.45,eV,Absorption
955,Sn1O2,2.55,eV,Absorption
956,Sn1O2,3.54,eV,Absorption
957,Sn1O2,3.57,eV,Reflection
958,Sn1O2,3.69,eV,Absorption
959,Sn1O2,3.7,eV,Absorption
960,Sn1O2,3.71,eV,Absorption
961,Sn1O2,3.93,eV,Reflection
962,Sn1O2,4.1,eV,Absorption
963,Sn1O2,3.9,eV,Reflection
964,Sn1S2,2.07,eV,Absorption
965,Sn1S2,2.88,eV,Absorption
966,Sn1S1,1.08,eV,Absorption
967,Sn1S2,2.21,eV,Absorption
968,Sn1S2,2.6,eV,Reflection
969,Sn1S1,1.3,eV,Reflection
970,Sn1Cl2,3.9,eV,Reflection
971,Sn1Se2,1.97,eV,Reflection
972,Sn1Se2,1.03,eV,Absorption
973,Sn1Se1,0.91,eV,Absorption
974,Sn1Se1,1.2,eV,Absorption
975,Sn1Se2,0.98,eV,Absorption
976,Sn1Se1,0.9,eV,Absorption
977,Sn1Se2,0.97,eV,Absorption
978,Sn1Se2,1,eV,Absorption
979,Sn1Se2,1,eV,Thermal activation
980,Sn1Se2,1.3,eV,Absorption
981,Sn1Se2,1.62,eV,Absorption
982,Sn1Br2,3.4,eV,Reflection
983,Sn1Br2,3.5,eV,Absorption
984,Sn,0.075,eV,Absorption
985,Sn,0.092,eV,
986,Sn,0.08,eV,Photoconduction
987,Sn1Te1,0.18,eV,Absorption
988,Sn1Te1,0.33,eV,
989,Sn1Te1,0.36,eV,Absorption
990,Sn1Te1,0.3,eV,Thermal activation
991,Sn1Te1,0.26,eV,Absorption
992,Sn1I4,2.38,eV,Absorption
993,Sn1I2,2.4,eV,Reflection
994,Sb2O3,3.31,eV,Reflection
995,Sb2O3,3.2,eV,Reflection
996,Sb2O3,4.2,eV,Photoconduction
997,Sb1Si1,1.9,eV,Thermal activation
998,Sb1Si1,1.9,eV,
999,Sb2S3,1.7,eV,Absorption
1000,Sb2S3,1.72,eV,Absorption
1001,Sb2S3,1.63,eV,Absorption
1002,Sb2S3,1.67,eV,Absorption
1003,Sb2S3,1.69,eV,Absorption
1004,Sb2S3,1.7,eV,Absorption
1005,Sb2S3,1.71,eV,Absorption
1006,Sb2S3,1.7,eV,
1007,Sb2S3,1.92,eV,Reflection
1008,Sb0.605As0.395,0.009,eV,Thermal activation
1009,Sb0.71As0.29,0.125,eV,Thermal activation
1010,Sb2Se3,1.2,eV,Absorption
1011,Sb2Se3,1.4,eV,
1012,Sb2Se3,1.1,eV,Absorption
1013,Sb2Se3,1.15,eV,Absorption
1014,Sb,0.1,eV,Reflection
1015,Sb,0.101,eV,Reflection
1016,Sb2Te3,0.3,eV,Absorption
1017,Sb2Te3,0.3,eV,Reflection
1018,Sb2Te3,0.3,eV,
1019,Sb1I3,2.22,eV,Estimated
1020,Sb1I3,2.12,eV,Absorption
1021,Sb1I3,2.49,eV,Absorption
1022,Te1O2,3,eV,Photoconduction
1023,Te,0.332,eV,Absorption
1024,Te,0.35,eV,
1025,Te,0.334,eV,Magnetoabsorption
1026,Te,0.335,eV,Absorption
1027,Te,0.334,eV,Magnetoabsorption
1028,Te,0.337,eV,Absorption
1029,Te,0.334,eV,
1030,Te,0.336,eV,Absorption
1031,Te,0.343,eV,Absorption
1032,Te,0.32,eV,Absorption
1033,Te,0.32,eV,Absorption
1034,Te,0.33,eV,Thermal activation
1035,Te1I1,1.1,eV,Thermal activation
1036,I,1.3,eV,Absorption
1037,I,1.68,eV,Absorption
1038,I,1.6,eV,Thermal activation
1039,I,1.5,eV,Absorption
1040,Cs1F1,10,eV,Absorption
1042,Cs1Cl1,8.1,eV,Absorption
1043,Cs1Cl1,7.8,eV,Absorption
1044,Cs1Cl1,7.4,eV,Estimated
1045,Cs3As1,0.6,eV,
1046,Cs1Br1,7.18,eV,Estimated
1047,Cs1Br1,6.9,eV,Estimated
1048,Cs1Br1,6.8,eV,Absorption
1049,Cs3Sb1,1.6,eV,Absorption
1050,Cs3Sb1,1.6,eV,
1051,Cs3Sb1,1.6,eV,
1052,Cs3Sb1,1.6,eV,
1053,Cs3Sb1,2.25,eV,Absorption
1054,Cs2Te1,3.5,eV,
1055,Cs1I1,6.37,eV,Absorption
1056,Cs1I1,6.3,eV,Absorption
1057,Cs1I1,6.4,eV,
1058,Cs1I1,6.2,eV,Estimated
1059,Cs1Bi2,0.55,eV,Absorption
1060,Cs3Bi1,0.55,eV,Absorption
1061,Cs3Bi1,0.7,eV,Absorption
1062,Ba1O1,5.13,eV,Estimated
1063,Ba1O1,3.8,eV,Absorption
1064,Ba1O1,4.8,eV,Absorption
1065,Ba1F2,9.06,eV,Absorption
1066,Ba1S1,3.88,eV,Absorption
1067,Ba1S1,3.9,eV,Absorption
1068,Ba1Se1,3.6,eV,Absorption
1069,Ba1Se1,3.58,eV,Absorption
1070,Ba1Te1,3.4,eV,Estimated
1072,La1B6,0.08,eV,Reflection
1073,La1B6,4.9,eV,Reflection
1074,La1B6,4.1,eV,Absorption
1075,La2O3,1.05,eV,Thermal activation
1076,La2O3,2.86,eV,
1077,La1F3,6.6,eV,Absorption
1078,La2S3,1.32,eV,Thermal activation
1080,La2Se3,1.97,eV,Reflection
1081,La2Se3,1.7,eV,Thermal activation
1082,La1Sb1,0.8,eV,Absorption
1083,La2Te3,0.1,eV,Thermal activation
1084,La3Te4,0.43,eV,Thermal activation
1085,Ce1N1,0.7,eV,Estimated
1086,Ce1O2,2.68,eV,Thermal activation
1087,Ce1O2,2,eV,
1088,Ce1O2,5.5,eV,Absorption
1089,Ce1O2,1.1,eV,Thermal activation
1090,Ce1F3,4.85,eV,Absorption
1091,Ce2S3,1.12,eV,
1092,Ce2Se3,0.09375,eV,Reflection
1093,Ce2Se3,1.62,eV,Thermal activation
1094,Ce2Se3,2,eV,Thermal activation
1095,Ce2Te3,1.4,eV,Thermal activation
1096,Pr1B6,4.9,eV,Reflection
1097,Pr1O2,0.66,eV,Thermal activation
1098,Pr2O3,0.84,eV,Thermal activation
1099,Pr1O2,0.88,eV,
1100,PrO,0.55,eV,Thermal activation
1101,Pr1F3,5.9,eV,Absorption
1102,Pr1F3,5.3,eV,Absorption
1103,Pr1As1,1,eV,Absorption
1104,Pr2Se3,1.8,eV,Reflection
1105,Pr2Se3,1.9,eV,Thermal activation
1106,Pr1Sb1,0.66,eV,Absorption
1107,Pr1Te2,1.02,eV,Absorption
1108,Pr1Te2,1.288,eV,Absorption
1109,Pr2Te3,1.5,eV,Absorption
1110,Nd1B6,4.9,eV,Reflection
1111,Nd1B6,3.4,eV,Absorption
1112,Nd1B6,4,eV,Absorption
1113,Nd2O3,0.97,eV,Thermal activation
1114,Nd1F3,6.15,eV,Absorption
1115,Nd2S3,3,eV,Thermal activation
1116,Nd1As1,1.04,eV,Absorption
1117,Nd2Se3,1.7,eV,Reflection
1118,Nd2Te5,0.29,eV,Thermal activation
1119,Nd1Te2,0.3,eV,Thermal activation
1120,Nd4Te7,0.38,eV,Thermal activation
1121,Nd2Te3,1.12,eV,Thermal activation
1122,Nd1Te2,0.48,eV,
1123,Sm1B6,4.9,eV,Reflection
1124,Sm2O3,1.17,eV,Thermal activation
1125,Sm2O3,2.27,eV,
1126,Sm1P1,1.09,eV,Absorption
1127,Sm1S1,0.22,eV,Thermal activation
1128,Sm2S3,3,eV,Reflection
1129,Sm1S1,0.2,eV,Absorption
1130,Sm2S3,3,eV,Thermal activation
1131,Sm1As1,1.03,eV,Absorption
1132,Sm1Se1,0.46,eV,Absorption
1133,Sm2Se3,2.3,eV,Reflection
1134,Sm2Se3,2.3,eV,Thermal activation
1135,Sm1Sb1,0.59,eV,Absorption
1136,Sm1Te1,0.62,eV,Absorption
1137,Eu1N1,1.25,eV,Thermal activation
1138,Eu1N1,1.47,eV,Estimated
1139,Eu1O1,1.122,eV,Absorption
1140,Eu3O4,0.6,eV,Thermal activation
1141,Eu2O3,1.7,eV,Thermal activation
1142,Eu1O1,1.115,eV,Reflection
1143,Eu1O1,1.1,eV,Thermal activation
1144,Eu1O1,4.3,eV,Photoconduction
1145,Eu2O3,1.84,eV,Thermal activation
1146,Eu3P2,1.2,eV,Absorption
1147,Eu1S1,1.645,eV,Absorption
1148,Eu3S4,0.163,eV,Thermal activation
1149,Eu1S1,1.645,eV,Absorption
1150,Eu1S1,1.65,eV,Reflection
1151,Eu1S1,1.69,eV,Absorption
1152,Eu1S1,3.1,eV,Absorption
1153,Eu3As2,0.6,eV,Thermal activation
1154,Eu1Se1,1.78,eV,Reflection
1155,Eu1Se1,1.78,eV,Absorption
1156,Eu1Se1,1.78,eV,Reflection
1157,Eu1Se1,1.8,eV,Photoconduction
1158,Eu1Se1,1.87,eV,Absorption
1159,Eu1Se1,3.1,eV,Absorption
1160,Eu1Te1,1.959,eV,Absorption
1161,Eu1Te1,2,eV,Reflection
1162,Eu1Te1,2,eV,Absorption
1163,Gd1B6,3.6,eV,Absorption
1164,Gd1N1,1.54,eV,Absorption
1165,Gd2O3,1.36,eV,Thermal activation
1166,Gd2O3,2.9,eV,Thermal activation
1167,Gd1As1,0.63,eV,Absorption
1168,Gd1Te1,1.3,eV,
1169,Tb1O2,0.5,eV,Thermal activation
1170,Tb2O3,0.95,eV,Thermal activation
1171,Tb4O7,0.4,eV,Thermal activation
1172,Tb2O3,0.86,eV,
1174,Dy1B6,3.3,eV,Absorption
1175,Dy1N1,2.6,eV,Absorption
1176,Dy1N1,2.1,eV,Absorption
1177,Dy2O3,3.08,eV,Thermal activation
1178,Dy2O3,1.39,eV,
1179,Dy2S3,2.91,eV,Absorption
1180,Dy2S3,3,eV,Thermal activation
1181,Dy1As1,1,eV,Absorption
1182,Ho1N1,1.79,eV,Absorption
1183,Ho1N1,1.9,eV,Absorption
1184,Ho2O3,2.84,eV,Thermal activation
1185,Er1B6,3.5,eV,Absorption
1186,Er1N1,2.4,eV,Absorption
1187,Er1N1,3,eV,Absorption
1188,Er2O3,3.26,eV,Thermal activation
1189,Er2O3,1.4,eV,
1190,Er1Se2,1.07,eV,Thermal activation
1191,Er2Se3,1.66,eV,Thermal activation
1192,Er3Te4,0.9,eV,Thermal activation
1193,Er1Te1,0.9,eV,Thermal activation
1194,Er2Te3,0.9,eV,Thermal activation
1195,Tm1As1,1.18,eV,Absorption
1196,Yb2O3,2.99,eV,Thermal activation
1197,Yb2O3,1.53,eV,Thermal activation
1198,YbS,0.33,eV,Thermal activation
1199,YbS,0.176,eV,Thermal activation
1200,Yb1As1,1.02,eV,Absorption
1201,Yb1Sb1,1,eV,Absorption
1202,Lu2O3,3.94,eV,Thermal activation
1203,Hf1O2,5.55,eV,
1204,Hf1S2,1.96,eV,Absorption
1205,Hf1S3,2.8,eV,Absorption
1206,Hf1S2,2.9,eV,Reflection
1207,Hf1S3,2.85,eV,Photoconduction
1208,Hf1Se2,1.13,eV,Absorption
1209,Hf1Se2,2.2,eV,Reflection
1210,TaN,2.3,eV,Absorption
1211,Ta2O5,4.6,eV,Photoconduction
1212,Ta1S2,0.1,eV,Thermal activation
1213,W1O3,2.8,eV,
1214,W1O3,2.7,eV,Absorption
1215,W1O3,2.9,eV,
1216,W1S2,1.1,eV,
1217,W1S2,0.45,eV,Thermal activation
1218,W1Se2,1.35,eV,Absorption
1219,W1Se2,1.49,eV,
1220,W1Se2,1.45,eV,Absorption
1221,W1Se2,1.35,eV,
1222,W1Se2,1.57,eV,Absorption
1223,W1Te2,0.05,eV,Thermal activation
1224,W1Te2,0.075,eV,Thermal activation
1225,Re1O3,2.3,eV,Reflection
1226,Re1Si2,0.12,eV,Thermal activation
1227,Re1S2,1.1,eV,Photoconduction
1228,Re1Se2,0.99,eV,Thermal activation
1229,Os1P2,1.2,eV,Reflection
1230,Os1S2,2,eV,Reflection
1231,Os1As2,0.9,eV,Reflection
1232,Os1Sb2,0.2,eV,Thermal activation
1233,Os1Te2,0.3,eV,Thermal activation
1234,Ir1S2,0.9,eV,Absorption
1235,Ir1Se2,1,eV,Absorption
1236,Pt1O2,0.2,eV,Thermal activation
1237,Pt1P2,0.8,eV,Thermal activation
1238,Pt1P2,0.6,eV,Thermal activation
1239,Pt1S1,0.8,eV,Absorption
1240,Pt1S2,0.75,eV,
1241,Pt1As2,0.55,eV,Thermal activation
1242,Pt1As2,0.5,eV,Thermal activation
1243,Pt1Se2,0.1,eV,
1244,Pt1Sb2,0.11,eV,Absorption
1245,Pt1Sb2,0.11,eV,
1246,Pt1Sb2,0.112,eV,
1247,Pt1Sb2,0.11,eV,Absorption
1248,Pt1Sb2,0.07,eV,
1250,Hg1O1,2.48,eV,Reflection
1251,Hg1O1,2.214,eV,Reflection
1252,Hg1O1,1.02,eV,Thermal activation
1253,Hg1O1,1.18,eV,Thermal activation
1254,Hg1S1,0.54,eV,Absorption
1255,Hg1S1,1.998,eV,Absorption
1256,Hg1S1,2.183,eV,Absorption
1257,Hg1S1,2.16,eV,Absorption
1258,Hg1S1,2.095,eV,Estimated
1259,Hg1S1,0.7,eV,Reflection
1260,Hg1S1,2.21,eV,Reflection
1261,Hg2Cl2,3.5,eV,Reflection
1262,Hg2Cl2,3.8,eV,Reflection
1263,Hg2Cl2,2.84,eV,Absorption
1264,Hg1Cl2,4.45,eV,Absorption
1265,Hg1Se1,0.24,eV,Magnetoreflection
1266,Hg1Se1,0.6,eV,Reflection
1267,Hg1Se1,0.07,eV,
1268,Hg1Se1,0.1,eV,Thermal activation
1269,Hg2Br2,2.6,eV,Absorption
1270,Hg1Br2,3.59,eV,Absorption
1271,Hg1Te1,0.175,eV,Thermal activation
1272,Hg1Te1,0.303,eV,Magnetoreflection
1273,Hg1Te1,0.266,eV,Magnetoreflection
1274,Hg1Te1,0.283,eV,Magnetoreflection
1275,Hg1Te1,0.15,eV,Reflection
1276,Hg1Te1,0.19,eV,
1277,Hg1I2,2.13,eV,Reflection
1278,Hg1I2,2.33,eV,
1279,Hg1I2,2.47,eV,
1280,Hg1I2,2.322,eV,Absorption
1281,Hg1I2,2.29,eV,Electroreflection
1282,Hg1I2,2.29,eV,Reflection
1283,Hg1I2,3.045,eV,Reflection
1284,Hg1I2,2.795,eV,Reflection
1285,Hg1I2,2.095,eV,Photoconduction
1286,Hg1I2,2.11,eV,Absorption
1287,Hg1I2,2.35,eV,Absorption
1288,Hg1I2,2.315,eV,Reflection
1289,Hg1I2,2.19,eV,Absorption
1290,Hg2I2,2.37,eV,Absorption
1291,Tl1N3,3.58,eV,Absorption
1292,Tl2O3,1.4,eV,Absorption
1293,Tl2O3,2.25,eV,Absorption
1294,Tl1S1,1.36,eV,Reflection
1295,Tl1S1,0.98,eV,Thermal activation
1296,Tl2S1,0.59,eV,Photoconduction
1297,Tl2S1,0.19,eV,Photoconduction
1298,Tl1Cl1,3.56,eV,Absorption
1299,Tl1Cl1,3.468,eV,Absorption
1300,Tl1Cl1,3.46,eV,Absorption
1301,Tl1Cl1,3.5,eV,Absorption
1302,Tl1Se1,0.73,eV,Absorption
1303,Tl1Se1,0.57,eV,
1304,Tl1Se1,0.96,eV,Absorption
1305,Tl1Se1,0.67,eV,Photoconduction
1306,Tl1Se1,0.7,eV,Absorption
1307,Tl1Se1,0.84,eV,Thermal activation
1308,Tl1Se1,0.74,eV,Reflection
1309,Tl1Br1,3.05,eV,Reflection
1310,Tl1Br1,3.115,eV,Absorption
1311,Tl1Br1,3.073,eV,Absorption
1312,Tl1Br1,3.1,eV,Absorption
1313,Tl2Te3,0.7,eV,Absorption
1314,Tl2Te1,0.5,eV,Thermal activation
1315,Tl2Te3,0.69,eV,Thermal activation
1316,Tl2Te3,0.48,eV,Thermal activation
1317,Tl2Te3,0.2,eV,Thermal activation
1318,Tl1I1,2.67,eV,Absorption
1319,Tl1I1,2.88,eV,Absorption
1320,Pb1N6,3.02,eV,Absorption
1321,Pb1N6,2.98,eV,Photoconduction
1322,Pb1O1,1.936,eV,Absorption
1323,Pb1O1,2.76,eV,Absorption
1324,Pb1O1,2.84,eV,Absorption
1325,Pb2O3,1.67,eV,Absorption
1326,Pb1O2,1.7,eV,
1327,Pb1O2,2,eV,
1328,Pb3O4,2.12,eV,Absorption
1329,Pb1O1,2.88,eV,Absorption
1330,Pb1O1,2.86,eV,Absorption
1331,Pb1O1,2.66,eV,Absorption
1332,Pb1O1,2.73,eV,Absorption
