chemicalFormula Clean,Band gap values Clean,Reliability
Co1O1,0.73,2
Co1O1,0.125,2
Co1F2,,2
Co1F2,,2
Co1Si1,0.045,1
Co1As2,0.15,1
Co1As3,0.25,1
Co1Te1.88,0.2,1
Ni1O1,3.7,1
Ni1O1,0.92,2
Ni1O1,4,2
Ni1O1,3.7,2
Ni1P2,0.5,1
Ni1S1,0.12,1
Ni1S2,0.5,1
Ni1S1,0.01,2
Ni1As2,0.05,1
NiTe,0.23,1
Cu1N3,4.17,1
Cu1N3,4.96,2
Cu2O1,2.023,1
Cu2O1,2.17,2
Cu2O1,2.58,2
Cu2O1,2.59,2
Cu2O1,2.02,2
Cu2O1,2.02,2
Cu2O1,2.67,2
Cu1P2,1.4,1
Cu1P2,1.51,2
Cu2S1,1.21,1
Cu2S1,1.93,2
Cu2S1,1.7,2
Cu2S1,1.8,2
Cu2S1,1.84,2
Cu2S1,1.93,2
Cu2S1,1.26,2
Cu2S1,1.05,2
Cu1Cl1,3.306,1
Cu2Se1,1.23,1
Cu2Se1,1.23,2
Cu2Se1,1.29,2
Cu2Se1,1.3,2
Cu1Br1,2.987,1
Cu1Br1,3.02,2
Cu2Te1,1.08,1
Cu2Te1,1.15,2
Cu2Te1,1.02,2
Cu2Te1,1.04,2
Cu2Te1,1.04,2
Cu1I1,3.07,1
Cu1I1,3.047,2
Zn1O1,3.35,1
Zn1O1,3.435,2
Zn1O1,3.26,2
Zn1O1,3.31,2
Zn1O1,3.418,2
Zn1P2,1.65,1
Zn1P2,1.85,1
Zn1P2,2.18,1
Zn3P2,1.15,1
Zn1P2,2.03,1
Zn1S1,3.87,1
Zn1S1,3.68,2
Zn1S1,3.69,2
Zn1S1,3.704,2
Zn1S1,3.73,2
Zn1S1,3.88,2
Zn1S1,3.82,2
Zn1As2,0.9,1
Zn3As2,0.93,1
Zn3As2,0.86,2
Zn1As2,0.93,2
Zn3As2,0.51,2
Zn1As2,1.3,2
Zn1Se1,2.67,1
Zn1Se1,2.874,2
Zn1Se1,2.81,2
Zn1Se1,2.68,2
Zn1Se1,2.795,2
Zn1Se1,2.76,2
Zn1Sb1,0.5,1
Zn1Sb1,0.99,1
Zn3Sb2,0.22,1
Zn4Sb3,1.2,1
Zn1Sb1,0.508,2
Zn1Sb1,0.603,2
Zn1Sb1,0.606,2
Zn1Sb1,0.61,2
Zn1Sb1,0.61,2
Zn1Sb1,1.05,2
Zn1Sb1,1.09,2
Zn1Sb1,1.11,2
Zn1Sb1,0.59,2
Zn1Sb1,0.59,2
Zn1Sb1,0.53,2
Zn1Sb1,0.48,2
Zn1Sb1,0.514,2
Zn3Sb2,0.2,2
Zn1Sb1,0.5,2
Zn1Te1,2.25,1
Zn1Te1,2.385,2
Zn1Te1,2.29,2
Zn1Te1,2.35,2
Zn1Te1,2.372,2
Zn1Te1,2.37,2
Zn1Te1,2.34,2
Zn1Te1,2.281,2
Zn1Te1,2.176,2
Zn1Te1,2.23,2
Zn1Te1,2.255,2
Zn1Te1,2.35,2
Zn1Te1,2.29,2
Zn1I2,4.53,1
Ga1N1,3.24,1
Ga1N1,3.25,2
Ga1N1,3.39,2
Ga1N1,3.8,2
Ga2O3,4.54,1
Ga2O3,4.4,2
Ga1P1,2.22,1
Ga1P1,2.78,1
Ga1P1,2.235,2
Ga1P1,2.895,2
Ga1P1,2.78,2
Ga1P1,2.223,2
Ga1P1,2.75,2
Ga1S1,2.5,1
Ga2S3,3.59,1
Ga1S1,2.591,2
Ga1S1,2.62,2
Ga1S1,2.7,2
Ga1S1,2.58,2
Ga1S1,2.38,2
Ga1S1,2.5,2
Ga1S1,2.52,2
Ga1S1,2.53,2
Ga1S1,2.84,2
Ga2S3,2.85,2
Ga1As1,1.42,1
Ga1As1,1.46,2
Ga1As1,1.521,2
Ga1As1,1.518,2
Ga1As1,1.507,2
Ga1As1,1.51,2
Ga1As1,1.511,2
Ga1As1,1.479,2
Ga1As1,1.43,2
Ga1As1,1.37,2
Ga1As1,1.62,2
Ga1As1,1.35,2
Ga1As1,1.253,2
Ga1As1,1.147,2
Ga1As1,1.09,2
Ga1As1,1.33,2
Ga1As1,1.435,2
Ga1Se1,1.98,1
Ga1Se1,2.12,1
Ga2Se3,2.05,1
Ga1Se1,2.2,2
Ga1Se1,2.132,2
Ga1Se1,2.065,2
Ga1Se1,2.07,2
Ga1Se1,2.109,2
Ga1Se1,2.117,2
Ga1Se1,2.12,2
Ga1Se1,2.169,2
Ga1Se1,1.93,2
Ga1Se1,1.97,2
Ga1Se1,1.97,2
Ga1Se1,2.01,2
Ga1Se1,2.1,2
Ga2Se3,2.3,2
Ga2Se3,1.86,2
Ga1Sb1,0.725,1
Ga1Sb1,0.773,2
Ga1Sb1,0.812,2
Ga1Sb1,0.813,2
Ga1Sb1,0.725,2
Ga1Sb1,0.81,2
Ga1Te1,1.42,1
Ga2Te3,1.13,1
Ga2Te3,1.32,1
Ga2Te3,1.08,2
Ga1Te1,1.52,2
Ga1Te1,1.74,2
Ga1Te1,1.74,2
Ga2Te3,1.33,2
Ga2Te3,1.5,2
Ga1Te1,1.5,2
Ga1Te1,1.63,2
Ga1Te1,1.67,2
Ga1Te1,1.7,2
Ga2Te3,1.45,2
Ga1Bi1,0.1,1
Ge1O2,5.56,1
Ge1O2,5.54,2
Ge1O2,5.63,2
Ge1O2,6,2
Ge0.9355Si0.0645,1.042,2
Ge0.93Si0.07,1.042,2
Ge0.891Si0.109,1.126,2
Ge0.838Si0.162,1.319,2
Ge0.774Si0.226,1.503,2
Ge0.653Si0.347,1.914,2
Ge0.542Si0.458,2.238,2
Ge1S1,1.58,1
Ge1S2,3.54,1
Ge1S1,1.69,2
Ge1S1,1.77,2
Ge1S1,1.59,2
Ge1S1,1.68,2
Ge1S2,3.71,2
Ge,0.665,1
Ge,0.005,1
Ge,0.744,2
Ge,0.771,2
Ge,0.735,2
Ge,0.889,2
Ge,0.88,2
Ge,0.799,2
Ge,0.882,2
Ge,0.88,2
Ge1As1,0.65,1
Ge1As2,1,1
Ge1As2,1.45,1
Ge1As1,1.45,1
Ge1Se1,1.1,1
Ge1Se1,1.53,1
Ge1Se2,2.38,1
Ge1Se2,2.485,1
Ge1Se2,2.69,2
Ge1Se1,1,2
Ge1Se1,1.17,2
Ge1Sn1,0.8,1
Ge1Te1,0.84,1
Ge1Te2,0.3,1
Ge1Te1,0.8,2
Ge1Te1,0.33,2
Ge1Te1,0.77,2
Ge1Te1,0.7,2
Ge1I2,1.5,1
As2O3,4,1
As2O3,5,2
As2S3,2.43,1
As4S4,2.4,1
As2S5,2.48,1
As2S3,2.2,2
As2S3,3,2
As2S6,2.35,2
As2S3,2.57,2
As2S3,2.64,2
As2S3,2.45,2
As2S3,2,2
As2S3,2.062,2
As2S3,2.21,2
As2S3,2.23,2
As2S3,2.48,2
As2S3,2.56,2
As2S3,2.355,2
As2S3,2.365,2
As2S3,2.43,2
As2S5,2.62,2
As2S3,2.32,2
As2S3,1.89,2
As2S5,2.01,2
As2S3,2.1,2
As2S5,2.21,2
As2S3,2.32,2
As2S3,2.36,2
As2S3,2.74,2
As2S3,2.8,2
As,1.2,1
As,0.172,2
As,0.346,2
As,1.07,2
As1Se1,1.01,1
As1Se1,1.42,1
As2Se3,1.77,1
As2Se3,1.8,2
As2Se3,1.81,2
As2Se3,1.85,2
As2Se3,2,2
As2Se3,1.63,2
As2Se3,1.5,2
As2Se3,1.7,2
As2Se3,1.7,2
As2Se3,1.73,2
As2Se3,1.1,2
As1Br3,2.6,1
As2Te3,0.48,1
As1Te1,0.74,1
As2Te3,0.58,2
As2Te3,1.1,2
As2Te3,0.62,2
As2Te3,0.9,2
As2Te3,1,2
As1I3,2.29,1
As1I3,2.54,2
SeS,1.9,1
Se,1.71,1
Se,1.72,1
Se,1.75,1
Se,1.81,2
Se,2.85,2
Se,2.01,2
Se,1.8,2
Se,2.3,2
Se,1.56,2
Se,1.7,2
Se,1.77,2
Se,1.98,2
Se,2.01,2
Se,2.14,2
Se,2.2,2
Se,1.85,2
Se,2.4,2
Se1Te1,0.64,1
Se3Te1,1.87,1
SeTe,0.561,2
Se1Te1,1.58,2
Rb1F1,10.4,1
Rb1Cl1,8.29,1
Rb1Cl1,8.5,2
Rb1Cl1,8.3,2
Rb1Cl1,8.1,2
Rb1Cl1,8.2,2
Rb1Br1,7.2,1
Rb1Br1,7.25,2
Rb1Br1,7.65,2
Rb1Br1,7.7,2
Rb3Sb1,1,1
Rb3Sb1,0.9,2
Rb3Sb1,1,2
Rb3Sb1,1.7,2
Rb2Te1,4.5,1
Rb1I1,5.83,1
Rb1I1,6.26,2
Rb1I1,6.37,2
Rb1I1,6.25,2
Rb1I1,6.05,2
Rb1I1,6.1,2
Rb1I1,6.1,2
Rb1I1,6.36,2
Sr1O1,5.77,1
Sr1O1,5.7,2
Sr1O1,1.16,2
Sr1S1,4.76,1
Sr1S1,4.8,2
Sr1Se1,4.42,1
Sr1Se1,4.45,2
Sr1Te1,3.73,1
Sr1Te1,3.77,2
Y1N1,1.9,1
Y2O3,5.6,1
Y2O3,1.46,2
ZrC,0.6,1
Zr6O1,0.18,1
Zr3O1,0.2,1
Zr1O2,4.99,1
Zr1O2,0.65,2
Zr1O2,0.56,2
Zr1S2,1.68,1
Zr1S2,2.75,1
Zr1S3,2.17,1
Zr1S3,2.28,2
Zr1S2,0.85,2
Zr1Se2,2,1
Zr1Se3,1.25,1
Nb1O2,0.25,1
Nb2O5,3.48,1
Nb2O5,1.65,2
Nb2O5,3.08,2
Nb2S3,0.12,1
Nb1Se2,1.4,1
Mo1O3,3.66,1
Mo1O3,3.23,1
Mo1O3,3.66,1
Mo1O3,2.8,1
Mo1O3,2.96,1
Mo1O3,3.54,1
Mo1O3,3.7,2
Mo1S2,1.89,1
Mo1S2,0.25,1
Mo1S2,1.935,2
Mo1S2,1.83,2
Mo1S2,0.874,2
Mo1S2,1,2
Mo1Te2,0.83,1
Mo1Te2,1.02,2
Mo1Te2,1.08,2
Mo1Te2,1.82,2
Ru1P2,1,1
Ru1S2,1.8,1
Ru1As2,0.8,1
Ru1Se2,1,1
Ru1Sb2,0.3,1
Ru1Te2,0.25,1
Ru1Te2,0.25,2
Rh2S3,0.8,1
Rh1S3,1.5,1
Rh1Se2,0.6,1
Rh1Se3,0.7,1
Pd1O1,1.5,1
Pd1O1,0.6,2
Pd1P2,0.65,1
Pd1S1,0.5,1
Pd1S2,0.75,1
Pd1Se1,0.2,1
Pd1Se2,0.4,1
Pd1Te2,1.8,1
Ag1N3,3.9,1
Ag1N3,3.44,2
Ag2O1,1.2,1
Ag2O1,1.5,2
Ag2O1,1.591,2
Ag2O1,0.64,2
Ag2S1,1.03,1
Ag2S1,0.87,1
Ag2S1,1.23,2
Ag2S1,1,2
Ag1Cl1,3.25,1
Ag1Cl1,5.13,1
Ag1Cl1,3.22,2
Ag1Cl1,5.1,2
Ag1Cl1,3.246,2
Ag1Cl1,3.25,2
Ag1Cl1,3.252,2
Ag1Cl1,3.22,2
Ag1Cl1,3.226,2
Ag1Cl1,3.08,2
Ag2Se1,0.13,1
Ag2Se1,0.07,2
Ag2Se1,0.18,2
Ag2Se1,0.05,2
Ag2Se1,0.18,2
Ag1Br1,2.68,1
Ag1Br1,4.29,1
Ag1Br1,2.97,2
Ag1Br1,4.292,2
Ag1Br1,2.683,2
Ag1Br1,2.69,2
Ag1Br1,2.691,2
Ag1Br1,2.676,2
Ag1Br1,2.68,2
Ag1Br1,2.52,2
Ag1Br1,2.6,2
Ag2Te1,0.064,1
Ag1Te1,0.85,1
Ag2Te1,0.064,2
Ag2Te1,0.025,2
Ag2Te1,0.028,2
Ag2Te1,0.13,2
Ag2Te1,0.28,2
Ag2Te1,0.85,2
Ag2Te1,0.064,2
Ag2Te1,0.67,2
Ag2Te1,0.2,2
Ag1I1,2.919,2
Ag1I1,2.82,2
Cd1O1,1.2,1
Cd1O1,2.3,1
Cd1O1,2.35,2
Cd1F2,6,1
Cd1P2,1.55,1
Cd1P2,1.65,1
Cd1P2,1.92,1
Cd1P2,2.02,1
Cd3P2,0.52,1
Cd1P4,1,1
Cd3P2,0.58,2
Cd3P2,0.589,2
Cd3P2,0.586,2
Cd1P2,2.15,2
Cd3P2,0.55,2
Cd1P2,1.93,2
Cd1P4,1.15,2
Cd1S1,2.41,1
Cd1S1,2.425,1
Cd1S1,2.526,2
Cd1S1,2.582,2
Cd1S1,2.386,2
Cd1S1,2.582,2
Cd1S1,2.573,2
Cd1Cl2,5.7,1
Cd1Cl2,5.8,2
Cd1As2,1,1
Cd3As2,0.13,1
Cd1As2,1.04,2
Cd3As2,0.14,2
Cd1As2,0.89,2
Cd3As2,0.048,2
Cd3As2,0.425,2
Cd3As2,0.53,2
Cd1Sc1,1.714,1
Cd1Se1,1.816,2
Cd1Se1,1.83,2
Cd1Se1,1.84,2
Cd1Se1,1.865,2
Cd1Se1,1.815,2
Cd1Se1,1.821,2
Cd1Se1,1.733,2
Cd1Br2,4.47,1
Cd1In1,0.6,1
Cd1Sb1,0.45,1
Cd4Sb3,1.25,1
Cd1Sb1,0.535,2
Cd1Sb1,0.57,2
Cd1Sb1,0.585,2
Cd1Sb1,0.428,2
Cd1Sb1,0.43,2
Cd1Sb1,0.45,2
Cd1Sb1,0.465,2
Cd1Sb1,0.7,2
Cd1Te1,1.517,1
Cd1Te1,1.595,2
Cd1Te1,1.594,2
Cd1Te1,1.58,2
Cd1I2,3.266,1
Cd1I2,3.857,1
Cd1I2,3.478,2
Cd1I2,3.8,2
Cd1I2,4.228,2
Cd1I2,3.2,2
Cd1I2,3.19,2
Cd1I2,3.2,2
Cd1I2,6.25,2
Cd1I2,3.26,2
Cd3Bi2,0.2,1
In1N1,2.4,1
In2O3,2.619,1
In2O3,3.75,1
In2O3,2.8,2
In2O3,3.55,2
In1P1,1.351,1
In1P1,1.413,2
In1P1,1.34,2
In1P1,1.45,2
In1P1,1.41,2
In2S3,1.1,1
In2S3,2.03,1
In1S1,1.86,1
In4S5,0.9,1
In2S3,2.28,2
In1As1,0.356,1
In1AsI,0.41,2
In1As1,0.41,2
In1As1,0.409,2
In1As1,0.412,2
In1As1,0.404,2
In1As1,0.33,2
In1Se1,1.187,1
In1Se1,1.293,1
In2Se1,0.65,1
In2Se1,0.828,1
In2Se3,1.2,1
In1Se1,1.285,2
In1Se1,1.357,2
In1Se1,1.12,2
In1Se1,1.19,2
In1Se1,2.42,2
In1Se1,1.05,2
In1Sb1,0.17,1
In1Sb1,0.235,2
In1Sb1,0.236,2
In1Sb1,0.175,2
In1Sb1,0.234,2
In1Sb1,0.236,2
In2Te3,0.84,1
In2Te3,1.12,1
In2Te3,1.15,2
In2Te3,1.11,2
In2Te3,0.85,2
In2Te3,1.026,2
In2Te3,1.09,2
In2Te3,1,2
Sn1O2,2.7,1
Sn1O2,4.3,1
Sn1O2,3.631,2
Sn1O2,3.947,2
Sn1O2,3.597,2
Sn1O2,2.6,2
Sn1O2,2.45,2
Sn1O2,2.55,2
Sn1O2,3.54,2
Sn1O2,3.57,2
Sn1O2,3.69,2
Sn1O2,3.7,2
Sn1O2,3.71,2
Sn1O2,3.93,2
Sn1O2,4.1,2
Sn1O2,3.9,2
Sn1S2,2.07,1
Sn1S2,2.88,1
Sn1S1,1.08,1
Sn1S2,2.21,2
Sn1S2,2.6,2
Sn1S1,1.3,2
Sn1Cl2,3.9,1
Sn1Se2,1.97,1
Sn1Se2,1.03,1
Sn1Se1,0.91,1
Sn1Se1,1.2,1
Sn1Se2,0.98,2
Sn1Se1,0.9,2
Sn1Se2,0.97,2
Sn1Se2,1,2
Sn1Se2,1,2
Sn1Se2,1.3,2
Sn1Se2,1.62,2
Sn1Br2,3.4,1
Sn1Br2,3.5,2
Sn,0.075,1
Sn,0.092,2
Sn,0.08,2
Sn1Te1,0.18,1
Sn1Te1,0.33,2
Sn1Te1,0.36,2
Sn1Te1,0.3,2
Sn1Te1,0.26,2
Sn1I4,2.38,1
Sn1I2,2.4,1
Sb2O3,3.31,1
Sb2O3,3.2,2
Sb2O3,4.2,2
Sb1Si1,1.9,1
Sb1Si1,1.9,2
Sb2S3,1.7,1
Sb2S3,1.72,2
Sb2S3,1.63,2
Sb2S3,1.67,2
Sb2S3,1.69,2
Sb2S3,1.7,2
Sb2S3,1.71,2
Sb2S3,1.7,2
Sb2S3,1.92,2
Sb0.605As0.395,0.009,1
Sb0.71As0.29,0.125,2
Sb2Se3,1.2,1
Sb2Se3,1.4,2
Sb2Se3,1.1,2
Sb2Se3,1.15,2
Sb,0.1,1
Sb,0.101,2
Sb2Te3,0.3,1
Sb2Te3,0.3,2
Sb2Te3,0.3,2
Sb1I3,2.22,1
Sb1I3,2.12,2
Sb1I3,2.49,2
Te1O2,3,1
Te,0.332,1
Te,0.35,2
Te,0.334,2
Te,0.335,2
Te,0.334,2
Te,0.337,2
Te,0.334,2
Te,0.336,2
Te,0.343,2
Te,0.32,2
Te,0.32,2
Te,0.33,2
Te1I1,1.1,1
I,1.3,1
I,1.68,2
I,1.6,2
I,1.5,2
Cs1F1,10,1
Cs2S1,,2
Cs1Cl1,8.1,1
Cs1Cl1,7.8,2
Cs1Cl1,7.4,2
Cs3As1,0.6,1
Cs1Br1,7.18,1
Cs1Br1,6.9,2
Cs1Br1,6.8,2
Cs3Sb1,1.6,1
Cs3Sb1,1.6,2
Cs3Sb1,1.6,2
Cs3Sb1,1.6,2
Cs3Sb1,2.25,2
Cs2Te1,3.5,1
Cs1I1,6.37,1
Cs1I1,6.3,2
Cs1I1,6.4,2
Cs1I1,6.2,2
Cs1Bi2,0.55,1
Cs3Bi1,0.55,1
Cs3Bi1,0.7,2
Ba1O1,5.13,1
Ba1O1,3.8,2
Ba1O1,4.8,2
Ba1F2,9.06,1
Ba1S1,3.88,1
Ba1S1,3.9,2
Ba1Se1,3.6,1
Ba1Se1,3.58,2
Ba1Te1,3.4,1
BaI,,2
La1B6,0.08,1
La1B6,4.9,2
La1B6,4.1,2
La2O3,1.05,1
La2O3,2.86,2
La1F3,6.6,1
La2S3,1.32,1
La1Cl3,,2
La2Se3,1.97,1
La2Se3,1.7,2
La1Sb1,0.8,1
La2Te3,0.1,1
La3Te4,0.43,1
Ce1N1,0.7,1
Ce1O2,2.68,1
Ce1O2,2,2
Ce1O2,5.5,2
Ce1O2,1.1,2
Ce1F3,4.85,1
Ce2S3,1.12,1
Ce2Se3,1.75,1
Ce2Se3,1.62,2
Ce2Se3,2,2
Ce2Te3,1.4,1
Pr1B6,4.9,1
Pr1O2,0.66,1
