,index,chemicalFormula Clean,Band gap values Clean,Band gap units,Band gap method,Reliability
447,453,Zn1Sb1,0.745,eV,Absorption,1
449,455,Zn3Sb2,0.22,eV,Absorption,1
450,456,Zn4Sb3,1.2,eV,Absorption,1
466,472,Zn1Te1,2.25,eV,Absorption,1
479,485,Zn1I2,4.53,eV,Absorption,1
480,486,Ga1N1,3.24,eV,Absorption,1
484,490,Ga2O3,4.54,eV,Absorption,1
486,492,Ga1P1,2.5,eV,Absorption,1
493,499,Ga1S1,2.5,eV,Absorption,1
494,500,Ga2S3,3.59,eV,,1
505,511,Ga1As1,1.42,eV,Reflection,1
522,528,Ga1Se1,2.05,eV,Absorption,1
524,530,Ga2Se3,2.05,eV,Absorption,1
540,546,Ga1Sb1,0.725,eV,Absorption,1
546,552,Ga1Te1,1.42,eV,Absorption,1
547,553,Ga2Te3,1.225,eV,Reflection,1
560,566,Ga1Bi1,0.1,eV,Estimated,1
561,567,Ge1O2,5.56,eV,Reflection,1
572,578,Ge1S1,1.58,eV,Thermal activation,1
573,579,Ge1S2,3.54,eV,Absorption,1
579,585,Ge,0.335,eV,Absorption,1
589,595,Ge1As1,1.05,eV,Absorption,1
590,596,Ge1As2,1.225,eV,Absorption,1
593,599,Ge1Se1,1.315,eV,Absorption,1
595,601,Ge1Se2,2.4325,eV,Absorption,1
600,606,Ge1Sn1,0.8,eV,,1
601,607,Ge1Te1,0.84,eV,Absorption,1
602,608,Ge1Te2,0.3,eV,,1
607,613,Ge1I2,1.5,eV,Estimated,1
608,614,As2O3,4.0,eV,Absorption,1
610,616,As2S3,2.43,eV,Absorption,1
611,617,As4S4,2.4,eV,Photoconduction,1
612,618,As2S5,2.48,eV,Absorption,1
638,644,As,1.2,eV,Photoconduction,1
642,648,As1Se1,1.2149999999999999,eV,Absorption,1
644,650,As2Se3,1.77,eV,Reflection,1
655,661,As1Br3,2.6,eV,Absorption,1
656,662,As2Te3,0.48,eV,Absorption,1
657,663,As1Te1,0.74,eV,,1
663,669,As1I3,2.29,eV,Estimated,1
665,671,SeS,1.9,eV,Absorption,1
666,672,Se,1.7266666666666666,eV,Absorption,1
683,689,Se1Te1,0.64,eV,Absorption,1
684,690,Se3Te1,1.87,eV,Absorption,1
687,693,Rb1F1,10.4,eV,Absorption,1
688,694,Rb1Cl1,8.29,eV,Absorption,1
693,699,Rb1Br1,7.2,eV,Absorption,1
697,703,Rb3Sb1,1.0,eV,Absorption,1
701,707,Rb2Te1,4.5,eV,Photoconduction,1
702,708,Rb1I1,5.83,eV,Absorption,1
710,716,Sr1O1,5.77,eV,Absorption,1
713,719,Sr1S1,4.76,eV,Absorption,1
715,721,Sr1Se1,4.42,eV,Absorption,1
717,723,Sr1Te1,3.73,eV,Absorption,1
719,725,Y1N1,1.9,eV,Absorption,1
720,726,Y2O3,5.6,eV,Absorption,1
722,728,ZrC,0.6,eV,Thermal activation,1
723,729,Zr6O1,0.18,eV,Thermal activation,1
724,730,Zr3O1,0.2,eV,Thermal activation,1
725,731,Zr1O2,4.99,eV,Reflection,1
728,734,Zr1S2,2.215,eV,Absorption,1
730,736,Zr1S3,2.17,eV,Absorption,1
733,739,Zr1Se2,2.0,eV,Reflection,1
734,740,Zr1Se3,1.25,eV,Absorption,1
735,741,Nb1O2,0.25,eV,Thermal activation,1
736,742,Nb2O5,3.48,eV,Absorption,1
739,745,Nb2S3,0.12,eV,Thermal activation,1
740,746,Nb1Se2,1.4,eV,Reflection,1
741,747,Mo1O3,3.3083333333333336,eV,Thermal activation,1
748,754,Mo1S2,1.0699999999999998,eV,Absorption,1
754,760,Mo1Te2,0.83,eV,Absorption,1
758,764,Ru1P2,1.0,eV,Reflection,1
759,765,Ru1S2,1.8,eV,Reflection,1
760,766,Ru1As2,0.8,eV,Reflection,1
761,767,Ru1Se2,1.0,eV,Reflection,1
762,768,Ru1Sb2,0.3,eV,Thermal activation,1
763,769,Ru1Te2,0.25,eV,Thermal activation,1
765,771,Rh2S3,0.8,eV,Thermal activation,1
766,772,Rh1S3,1.5,eV,Absorption,1
767,773,Rh1Se2,0.6,eV,,1
768,774,Rh1Se3,0.7,eV,Absorption,1
769,775,Pd1O1,1.5,eV,Thermal activation,1
771,777,Pd1P2,0.65,eV,Thermal activation,1
772,778,Pd1S1,0.5,eV,Thermal activation,1
773,779,Pd1S2,0.75,eV,Thermal activation,1
774,780,Pd1Se1,0.2,eV,Thermal activation,1
775,781,Pd1Se2,0.4,eV,Thermal activation,1
776,782,Pd1Te2,1.8,eV,,1
777,783,Ag1N3,3.9,eV,Photoconduction,1
779,785,Ag2O1,1.2,eV,Photoconduction,1
783,789,Ag2S1,0.95,eV,Photoconduction,1
787,793,Ag1Cl1,4.1899999999999995,eV,Absorption,1
797,803,Ag2Se1,0.13,eV,Absorption,1
802,808,Ag1Br1,3.4850000000000003,eV,Absorption,1
813,819,Ag2Te1,0.064,eV,Absorption,1
814,820,Ag1Te1,0.85,eV,Absorption,1
826,832,Cd1O1,1.75,eV,Absorption,1
829,835,Cd1F2,6.0,eV,,1
830,836,Cd1P2,1.7850000000000001,eV,,1
834,840,Cd3P2,0.52,eV,Thermal activation,1
835,841,Cd1P4,1.0,eV,Absorption,1
843,849,Cd1S1,2.4175,eV,Photoconduction,1
850,856,Cd1Cl2,5.7,eV,Reflection,1
852,858,Cd1As2,1.0,eV,Absorption,1
853,859,Cd3As2,0.13,eV,Absorption,1
860,866,Cd1Sc1,1.714,eV,Photoconduction,1
868,874,Cd1Br2,4.47,eV,Reflection,1
869,875,Cd1In1,0.6,eV,Estimated,1
870,876,Cd1Sb1,0.45,eV,Absorption,1
871,877,Cd4Sb3,1.25,eV,Absorption,1
880,886,Cd1Te1,1.517,eV,Electroreflection,1
884,890,Cd1I2,3.5615,eV,Absorption,1
894,900,Cd3Bi2,0.2,eV,Estimated,1
895,901,In1N1,2.4,eV,Estimated,1
896,902,In2O3,3.1845,eV,Absorption,1
900,906,In1P1,1.351,eV,Absorption,1
905,911,In2S3,1.565,eV,Thermal activation,1
907,913,In1S1,1.86,eV,Thermal activation,1
908,914,In4S5,0.9,eV,Photoconduction,1
910,916,In1As1,0.35600000000000004,eV,Magnetoabsorption,1
917,923,In1Se1,1.24,eV,Absorption,1
919,925,In2Se1,0.739,eV,Absorption,1
921,927,In2Se3,1.2,eV,Absorption,1
928,934,In1Sb1,0.17,eV,Absorption,1
934,940,In2Te3,0.98,eV,Reflection,1
942,948,Sn1O2,3.5,eV,Absorption,1
958,964,Sn1S2,2.4749999999999996,eV,Absorption,1
960,966,Sn1S1,1.08,eV,Absorption,1
964,970,Sn1Cl2,3.9,eV,Reflection,1
965,971,Sn1Se2,1.5,eV,Reflection,1
967,973,Sn1Se1,1.055,eV,Absorption,1
976,982,Sn1Br2,3.4,eV,Reflection,1
978,984,Sn,0.075,eV,Absorption,1
981,987,Sn1Te1,0.18,eV,Absorption,1
986,992,Sn1I4,2.38,eV,Absorption,1
987,993,Sn1I2,2.4,eV,Reflection,1
988,994,Sb2O3,3.31,eV,Reflection,1
991,997,Sb1Si1,1.9,eV,Thermal activation,1
993,999,Sb2S3,1.7,eV,Absorption,1
1002,1008,Sb0.605As0.395,0.009000000000000001,eV,Thermal activation,1
1004,1010,Sb2Se3,1.2,eV,Absorption,1
1008,1014,Sb,0.1,eV,Reflection,1
1010,1016,Sb2Te3,0.3,eV,Absorption,1
1013,1019,Sb1I3,2.22,eV,Estimated,1
1016,1022,Te1O2,3.0,eV,Photoconduction,1
1017,1023,Te,0.332,eV,Absorption,1
1029,1035,Te1I1,1.1,eV,Thermal activation,1
1030,1036,I,1.3,eV,Absorption,1
1034,1040,Cs1F1,10.0,eV,Absorption,1
1035,1042,Cs1Cl1,8.1,eV,Absorption,1
1038,1045,Cs3As1,0.6,eV,,1
1039,1046,Cs1Br1,7.18,eV,Estimated,1
1042,1049,Cs3Sb1,1.6,eV,Absorption,1
1047,1054,Cs2Te1,3.5,eV,,1
